trajectory_mode,effect_size,cell_id,phase,checkpoint,scope,measurement_space,statistic,n_replicates,n_available,n_unavailable,mean,sd,median
none,0.0,power_primary-fa0b0d3f6cda,power_primary,population_standardized,proteomics,standardized_feature,shape,100,100,0,1.0913968183550183e-15,2.133858357400788e-16,1.0643274072599356e-15
none,0.0,power_primary-fa0b0d3f6cda,power_primary,observed_standardized,expression,standardized_feature,angle,100,100,0,19.561355531509573,18.58620322925245,13.753882422570829
none,0.0,power_primary-fa0b0d3f6cda,power_primary,observed_standardized,expression,standardized_feature,delta,100,100,0,0.3300629971061525,0.256125058228865,0.29299217538535416
none,0.0,power_primary-fa0b0d3f6cda,power_primary,observed_standardized,expression,standardized_feature,path_length[A],100,100,0,38.863375290077926,1.2647172352596523,38.81305346581989
none,0.0,power_primary-fa0b0d3f6cda,power_primary,observed_standardized,expression,standardized_feature,path_length[B],100,100,0,38.8222846301149,1.2630565747637403,38.857268022384346
none,0.0,power_primary-fa0b0d3f6cda,power_primary,observed_standardized,expression,standardized_feature,shape,100,100,0,0.0188941215901009,0.005687448596133911,0.01833749599929662
none,0.0,power_primary-fa0b0d3f6cda,power_primary,observed_standardized,joint,standardized_feature,angle,100,100,0,19.815621586041356,26.62174926709994,13.20404930115096
none,0.0,power_primary-fa0b0d3f6cda,power_primary,observed_standardized,joint,standardized_feature,delta,100,100,0,0.39187636480515553,0.2953261755067203,0.316856009277501
none,0.0,power_primary-fa0b0d3f6cda,power_primary,observed_standardized,joint,standardized_feature,path_length[A],100,100,0,85.02484366222372,2.3309311540299116,85.11978571651517
none,0.0,power_primary-fa0b0d3f6cda,power_primary,observed_standardized,joint,standardized_feature,path_length[B],100,100,0,85.00974830621212,2.202628902100728,85.06841016216035
none,0.0,power_primary-fa0b0d3f6cda,power_primary,observed_standardized,joint,standardized_feature,shape,100,100,0,0.009910242956008196,0.004051429879415119,0.008922495412581225
none,0.0,power_primary-fa0b0d3f6cda,power_primary,observed_standardized,methylation,standardized_feature,angle,100,100,0,31.402397394968794,39.0451254491463,17.884088383904523
none,0.0,power_primary-fa0b0d3f6cda,power_primary,observed_standardized,methylation,standardized_feature,delta,100,100,0,0.48157571326928844,0.38800287910855136,0.40689634845661615
none,0.0,power_primary-fa0b0d3f6cda,power_primary,observed_standardized,methylation,standardized_feature,path_length[A],100,100,0,58.093625207659954,1.7271765065507985,58.248236678039056
none,0.0,power_primary-fa0b0d3f6cda,power_primary,observed_standardized,methylation,standardized_feature,path_length[B],100,100,0,58.09923043187562,1.6019664071849213,58.17548599521729
none,0.0,power_primary-fa0b0d3f6cda,power_primary,observed_standardized,methylation,standardized_feature,shape,100,100,0,0.017635719376371175,0.008433244743643,0.016063264673782864
none,0.0,power_primary-fa0b0d3f6cda,power_primary,observed_standardized,proteomics,standardized_feature,angle,100,100,0,12.20240909872299,16.239735895235885,9.724476078277027
none,0.0,power_primary-fa0b0d3f6cda,power_primary,observed_standardized,proteomics,standardized_feature,delta,100,100,0,0.25427281054714107,0.20100403721403876,0.22472842032339813
none,0.0,power_primary-fa0b0d3f6cda,power_primary,observed_standardized,proteomics,standardized_feature,path_length[A],100,100,0,48.360738024627636,1.7140849509075435,48.3843799703202
none,0.0,power_primary-fa0b0d3f6cda,power_primary,observed_standardized,proteomics,standardized_feature,path_length[B],100,100,0,48.35970627647448,1.702280703283531,48.197927156046276
none,0.0,power_primary-fa0b0d3f6cda,power_primary,observed_standardized,proteomics,standardized_feature,shape,100,100,0,0.01113421640144843,0.0035834004887827526,0.010694939472793782
none,0.0,power_primary-fa0b0d3f6cda,power_primary,pls_latent,joint,pls_latent,angle,100,100,0,10.33728082563889,22.1885002420291,4.982410217562011
none,0.0,power_primary-fa0b0d3f6cda,power_primary,pls_latent,joint,pls_latent,delta,100,100,0,0.3927627365998969,0.29315718424319703,0.31478252549317887
none,0.0,power_primary-fa0b0d3f6cda,power_primary,pls_latent,joint,pls_latent,path_length[A],100,100,0,82.26647537620751,6.06322985030052,84.10171167462568
none,0.0,power_primary-fa0b0d3f6cda,power_primary,pls_latent,joint,pls_latent,path_length[B],100,100,0,82.22525677878392,5.960877628633168,84.09525595091571
none,0.0,power_primary-fa0b0d3f6cda,power_primary,pls_latent,joint,pls_latent,shape,100,100,0,0.010163593097090964,0.004143133077310972,0.009094249130213453
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,population_native,expression,native_omic_units,angle,100,100,0,7.377589751423444e-07,8.931006979028799e-07,0.0
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,population_native,expression,native_omic_units,delta,100,100,0,0.0,0.0,0.0
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,population_native,expression,native_omic_units,path_length[A],100,100,0,44.38705592096885,1.3776637084448553,44.40779966290403
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,population_native,expression,native_omic_units,path_length[B],100,100,0,44.38705592096885,1.3776637084448553,44.40779966290403
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,population_native,expression,native_omic_units,shape,100,100,0,1.5575380735640754e-15,3.309520761690163e-16,1.5018302435799373e-15
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,population_native,methylation,native_omic_units,angle,100,100,0,5.963946558151128e-07,8.328377388943721e-07,0.0
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,population_native,methylation,native_omic_units,delta,100,100,0,0.0,0.0,0.0
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,population_native,methylation,native_omic_units,path_length[A],100,100,0,64.96138703832327,1.6714099984589386,65.15558940529957
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,population_native,methylation,native_omic_units,path_length[B],100,100,0,64.96138703832327,1.6714099984589386,65.15558940529957
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,population_native,methylation,native_omic_units,shape,100,100,0,2.1161542851582198e-15,3.933444708943406e-16,2.043180387747295e-15
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,population_native,proteomics,native_omic_units,angle,100,100,0,7.365537794025934e-07,8.300480621501593e-07,0.0
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,population_native,proteomics,native_omic_units,delta,100,100,0,0.0,0.0,0.0
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,population_native,proteomics,native_omic_units,path_length[A],100,100,0,49.20136291618289,1.7029405572511824,49.230225824938245
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,population_native,proteomics,native_omic_units,path_length[B],100,100,0,49.20136291618289,1.7029405572511824,49.230225824938245
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,population_native,proteomics,native_omic_units,shape,100,100,0,1.8111740787389864e-15,5.245206932368576e-16,1.7170542059771496e-15
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,population_standardized,expression,standardized_feature,angle,100,100,0,6.760637922767062e-07,8.550523877902207e-07,0.0
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,population_standardized,expression,standardized_feature,delta,100,100,0,0.0,0.0,0.0
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,population_standardized,expression,standardized_feature,path_length[A],100,100,0,38.415241488118426,1.1181577456165637,38.384410162025006
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,population_standardized,expression,standardized_feature,path_length[B],100,100,0,38.415241488118426,1.1181577456165637,38.384410162025006
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,population_standardized,expression,standardized_feature,shape,100,100,0,1.0780001782024248e-15,3.470213049576183e-16,1.0203892694951666e-15
