cell_id,phase,trajectory_mode,varied_axis,varied_value,completed_replicates,delta_rate,delta_se,delta_available,angle_rate,angle_se,angle_available,shape_rate,shape_se,shape_available,combined_rate,combined_se,combined_available
type_i_baseline-5c0f9fe8a4ad,type_i_baseline,none,,,100,0.04,0.019595917942265423,100,0.05,0.021794494717703367,100,0.01,0.0099498743710662,100,0.09,0.02861817604250837,100
type_i_baseline-82750f50d4bc,type_i_baseline,translation,,,100,0.06,0.023748684174075833,100,0.04,0.019595917942265423,100,0.09,0.02861817604250837,100,0.14,0.03469870314579494,100
