trajectory_mode,effect_size,cell_id,phase,configuration,n_replicates,n_recorded,n_available,mean_eigengap,sd_eigengap,q25_eigengap,median_eigengap,q75_eigengap,min_eigengap,max_eigengap
none,0.0,power_design-053b8f40c922,power_design,A,100,100,100,0.17728137641706743,0.07606276639810448,0.11711037025586746,0.17795862847546867,0.23096562463140063,0.009780440621394548,0.3700439007404257
none,0.0,power_design-053b8f40c922,power_design,B,100,100,100,0.17977455816115792,0.07414395059971345,0.13065488910977313,0.18017297669508914,0.23202226713430463,0.01647800762733581,0.3631682190523068
none,0.0,power_design-053b8f40c922,power_design,pooled,100,100,100,0.17863501749573188,0.07470730594752327,0.13023507159389563,0.17510028927461274,0.22761953826234393,0.011568111664471636,0.36666062158892865
none,0.0,power_design-71c973a2caad,power_design,A,100,100,100,0.17995815294512585,0.13695321679990394,0.07898630097320271,0.1500613754481123,0.2313626131922775,0.011796249271714632,0.6655448628465596
none,0.0,power_design-71c973a2caad,power_design,B,100,100,100,0.1763857668519697,0.13477461793912343,0.08035594872968256,0.13472771913899342,0.21998857049901416,0.005252206246772195,0.6383119901586418
none,0.0,power_design-71c973a2caad,power_design,pooled,100,100,100,0.1724790437797067,0.13661100563689385,0.0772082800384606,0.1428095666441826,0.21597949490204071,0.008053684418936558,0.6755883383645205
none,0.0,power_design-7298473bd609,power_design,A,100,100,100,0.19333419557123477,0.11167185985006597,0.1130913370944942,0.17335112947793024,0.25365746066555506,0.006174496742744617,0.6093840460812378
none,0.0,power_design-7298473bd609,power_design,B,100,100,100,0.1908992845202184,0.10864933891084871,0.120025145980682,0.1772128474622242,0.24374923003799995,0.01590978410800742,0.6182551471485368
none,0.0,power_design-7298473bd609,power_design,pooled,100,100,100,0.1902658566534203,0.11021010038359755,0.10911070033327641,0.1754353638261691,0.24769286195313955,0.016746146327067446,0.6141104766070384
none,0.0,power_design-7ac1657a5a15,power_design,A,100,100,100,0.20383309018917203,0.12841437264186478,0.12180566489703136,0.1698916462280039,0.24291140317238313,0.016023123070608714,0.6090539507988125
none,0.0,power_design-7ac1657a5a15,power_design,B,100,100,100,0.21503430221164344,0.13661479475304156,0.11312459739898366,0.18665377303471364,0.2626391617498339,0.021983294644198015,0.6346732172948766
none,0.0,power_design-7ac1657a5a15,power_design,pooled,100,100,100,0.2072717989426134,0.13360898116310274,0.1185548824174325,0.18208197080596253,0.24808380279192743,0.004954353797438693,0.6309447735871111
none,0.0,power_design-9b1249d3f158,power_design,A,100,100,100,0.06009794261422014,0.031030787623243194,0.03685498644056602,0.05500598097691739,0.08387256141955012,0.007207879843835807,0.13883560531555467
none,0.0,power_design-9b1249d3f158,power_design,B,100,100,100,0.06016462184347581,0.03028942547147493,0.037032416034936136,0.05719327435953642,0.08604089761291264,0.008246913151972068,0.1393369326162418
none,0.0,power_design-9b1249d3f158,power_design,pooled,100,100,100,0.060103191806928115,0.03058042531731235,0.03710746734494898,0.05476163488409985,0.08547258070382394,0.00884379347576103,0.1390413785108175
none,0.0,power_design-9c1632a3dd59,power_design,A,100,100,100,0.1511609724754241,0.06948584167250207,0.09918310450938816,0.1531991953229078,0.20212010519004164,0.0226665524855047,0.30014567377625395
none,0.0,power_design-9c1632a3dd59,power_design,B,100,100,100,0.1505760698310129,0.07020241726575202,0.08632368521560936,0.15372760570481686,0.2018142294753968,0.014134973706452225,0.29728642897200813
none,0.0,power_design-9c1632a3dd59,power_design,pooled,100,100,100,0.1519127476188966,0.06794832958713251,0.08909276445934203,0.16083004500386067,0.20509013364149692,0.022599230751083277,0.29189208096031927
none,0.0,power_design-e07cabc32866,power_design,A,100,100,100,0.05911825673400534,0.03192356549214515,0.03633334942604502,0.05581363006943768,0.08385740660191504,0.0018765076252825752,0.13897613052671742
none,0.0,power_design-e07cabc32866,power_design,B,100,100,100,0.059177450325278096,0.03043897052707556,0.033794573598313574,0.05320543177401188,0.08169480281187672,0.007631956227371395,0.14325994492954464
none,0.0,power_design-e07cabc32866,power_design,pooled,100,100,100,0.0589609565308312,0.031152480699220796,0.035505675796923,0.05488062906970226,0.08349556838865713,0.002852018175920734,0.14102923149673846
none,0.0,power_design-eee2cc91077e,power_design,A,100,100,100,0.198271639024853,0.06973163581251947,0.16284209787789405,0.19649717806491976,0.24004546502831042,0.023112147237489444,0.3698395741670666
none,0.0,power_design-eee2cc91077e,power_design,B,100,100,100,0.19777777773007135,0.0694901794612516,0.1608225725346031,0.19905769197257092,0.24039044374653956,0.020681580068037442,0.37669129505892984
none,0.0,power_design-eee2cc91077e,power_design,pooled,100,100,100,0.19797493210800352,0.06959229369459481,0.16182904480476348,0.19798667377561033,0.24143056818847686,0.02127597153411065,0.3732677553262882
none,0.0,power_primary-30c78a391682,power_primary,A,100,100,100,0.05836486849758573,0.029911751998885655,0.03586884984593729,0.05242335391959657,0.08132054648999851,0.007778780867997437,0.14226401375449832
none,0.0,power_primary-30c78a391682,power_primary,B,100,100,100,0.05851063831395411,0.030606371834391237,0.03741013334030541,0.052585134346463114,0.07902993584746934,0.0033460974840804347,0.13402721827144076
none,0.0,power_primary-30c78a391682,power_primary,pooled,100,100,100,0.058011622491885725,0.029980913608851894,0.03739973579928077,0.05195862950659286,0.08095597508540765,0.009063764199341684,0.138769286659234
none,,type_i_baseline-d9df4c3b0570,type_i_baseline,A,100,100,100,0.05490759207759069,0.027375558988746967,0.034840380360499426,0.05394560206753063,0.07267746228771435,0.004195113039890119,0.12343836411527859
none,,type_i_baseline-d9df4c3b0570,type_i_baseline,B,100,100,100,0.0547631550892101,0.029760852328787148,0.030696894750698936,0.0540232882038289,0.0755610767725225,0.002749585914154362,0.124173536567729
none,,type_i_baseline-d9df4c3b0570,type_i_baseline,pooled,100,100,100,0.05440580160952917,0.02847549072401845,0.032004409531360856,0.05381812136986483,0.07476117206572633,0.0047035299753172555,0.1238841672900508
orientation,0.25,power_design-1dca0cb6497e,power_design,A,100,100,100,0.18628885064533904,0.11031523368604373,0.10442385376902255,0.17215023198055432,0.2504687752072572,0.007222057456622855,0.6190008931214042
orientation,0.25,power_design-1dca0cb6497e,power_design,B,100,100,100,0.18439397951161776,0.10050381654488151,0.11073708278711913,0.17877821931942114,0.23335427852848767,0.025250196821234527,0.6009466872212081
orientation,0.25,power_design-1dca0cb6497e,power_design,pooled,100,100,100,0.1774801616311513,0.10101338473374315,0.10252311812125792,0.1736859786811321,0.21568579803589344,0.019860863286329467,0.612688806312251
orientation,0.25,power_design-4b3cbbf30208,power_design,A,100,100,100,0.2156259357995335,0.1514354646467668,0.09688056689013642,0.17136698318847224,0.27250130874352324,0.021313588457478383,0.5871819009485463
orientation,0.25,power_design-4b3cbbf30208,power_design,B,100,100,100,0.22520705238399022,0.14909307599722532,0.12215705338456609,0.18052557143658146,0.28408773841304474,0.013156357224402504,0.615183044826004
orientation,0.25,power_design-4b3cbbf30208,power_design,pooled,100,100,100,0.2136367601861577,0.15109660224418606,0.11153167832570521,0.16461207094885064,0.24722746996925568,0.003990872937735368,0.6050470358756033
orientation,0.25,power_design-57054ea4aecd,power_design,A,100,100,100,0.1331205730836177,0.06816380480244881,0.07273308292588473,0.14035642604533416,0.1801545134111888,0.005607292090718918,0.2870745201379308
orientation,0.25,power_design-57054ea4aecd,power_design,B,100,100,100,0.1317948043971384,0.06538658936945956,0.08349595358138116,0.12406959630255526,0.1814752076266784,0.012616977775584293,0.2829083117482052
orientation,0.25,power_design-57054ea4aecd,power_design,pooled,100,100,100,0.1283404021972173,0.06466632993246163,0.08705042819998768,0.12214391724477905,0.18284498111819936,0.00280598106375346,0.267000469751428
orientation,0.25,power_design-9b869bb58e46,power_design,A,100,100,100,0.16619010502632722,0.06975287386087935,0.11811208331863475,0.1703864701363546,0.21068906523789666,0.018097319372287812,0.390518079353435
orientation,0.25,power_design-9b869bb58e46,power_design,B,100,100,100,0.1656124266533537,0.07542471132802193,0.11295621980545302,0.16923414052492358,0.21755396318667578,0.004451596704378724,0.3784853580908545
orientation,0.25,power_design-9b869bb58e46,power_design,pooled,100,100,100,0.1642073477170196,0.0719428332244807,0.12329349464286937,0.16063912804912348,0.2115353266166598,0.007386009855196718,0.38477812820085594
orientation,0.25,power_design-9d879d530c71,power_design,A,100,100,100,0.199058519875426,0.06372423923794528,0.1651612841931065,0.1953029806496076,0.24880354250015838,0.0626376289257683,0.32989828705247587
orientation,0.25,power_design-9d879d530c71,power_design,B,100,100,100,0.19320749691391698,0.0748338687182805,0.13853935391578742,0.20250585660838585,0.24625150855787123,0.024131700486902996,0.35965916322593716
orientation,0.25,power_design-9d879d530c71,power_design,pooled,100,100,100,0.19515817492268034,0.06814689473903411,0.15168774766638066,0.19591334312465572,0.24257564323695907,0.04963809160507998,0.3430296685463562
orientation,0.25,power_design-b93ef89ed303,power_design,A,100,100,100,0.20933269384496453,0.1267324669748787,0.12177305965531604,0.18465009865342213,0.2697555324207977,0.006784796376251401,0.6153458425495052
orientation,0.25,power_design-b93ef89ed303,power_design,B,100,100,100,0.20991167877955483,0.11732747868776433,0.12863997896812185,0.1854785524664844,0.25169742997893924,0.021231560425297336,0.5740885291677509
orientation,0.25,power_design-b93ef89ed303,power_design,pooled,100,100,100,0.20220466780738683,0.12033461131630911,0.11537280207120833,0.17534001553683046,0.2429727690526804,0.030239079630838606,0.5780784970194109
orientation,0.25,power_design-c2b181f4ad7f,power_design,A,100,100,100,0.06214344121512862,0.033257526992713046,0.039552898353107074,0.054473172365534506,0.08824460602220133,0.0041508080568128936,0.15758461338384067
