cell_id,phase,trajectory_mode,varied_axis,varied_value,completed_replicates,delta_rate,delta_se,delta_available,angle_rate,angle_se,angle_available,shape_rate,shape_se,shape_available,combined_rate,combined_se,combined_available
type_i_baseline-d9df4c3b0570,type_i_baseline,none,,,100,0.04,0.019595917942265423,100,0.03,0.01705872210923198,100,0.06,0.023748684174075833,100,0.11,0.03128897569432403,100
type_i_baseline-1123545949f1,type_i_baseline,translation,,,100,0.02,0.014,100,0.03,0.01705872210923198,100,0.03,0.01705872210923198,100,0.07,0.02551470164434615,100
