baseline_continuity,generator.n_samples,trajectory_mode,effect_size,statistic,n_cells,n_replicates,n_available,n_rejected,rejection_rate,monte_carlo_se,n_eigengap_available,mean_eigengap,q33_eigengap,median_eigengap,q67_eigengap,n_angle_null_available,median_angle_null_q95,iqr_angle_null_q95,sd_angle_null_q95
0.0,300,orientation,0.25,delta,1,100,100,60,0.6,0.04898979485566356,100,0.05910551410308092,0.042610960731239045,0.056174303945195486,0.07111212646839704,100,19.137832549137507,45.3501814665375,56.964780304222444
0.0,300,orientation,0.25,angle,1,100,100,45,0.45,0.049749371855331,100,0.05910551410308092,0.042610960731239045,0.056174303945195486,0.07111212646839704,100,19.137832549137507,45.3501814665375,56.964780304222444
0.0,300,orientation,0.25,shape,1,100,100,82,0.82,0.0384187454245971,100,0.05910551410308092,0.042610960731239045,0.056174303945195486,0.07111212646839704,100,19.137832549137507,45.3501814665375,56.964780304222444
0.0,300,orientation,0.5,delta,1,100,100,67,0.67,0.04702127178203499,100,0.05678001619206399,0.038519128515469514,0.05070773646879126,0.06736830725658877,100,24.756454200146095,33.95833917027944,57.08333879396922
0.0,300,orientation,0.5,angle,1,100,100,63,0.63,0.048280430818293245,100,0.05678001619206399,0.038519128515469514,0.05070773646879126,0.06736830725658877,100,24.756454200146095,33.95833917027944,57.08333879396922
0.0,300,orientation,0.5,shape,1,100,100,93,0.93,0.02551470164434614,100,0.05678001619206399,0.038519128515469514,0.05070773646879126,0.06736830725658877,100,24.756454200146095,33.95833917027944,57.08333879396922
0.0,300,orientation,1.0,delta,1,100,100,69,0.69,0.04624932431938871,100,0.05833555117892003,0.034978680319140365,0.05182799842095989,0.06739181122237597,100,40.741784437920415,107.3970456082791,59.08471965526275
0.0,300,orientation,1.0,angle,1,100,100,55,0.55,0.049749371855330994,100,0.05833555117892003,0.034978680319140365,0.05182799842095989,0.06739181122237597,100,40.741784437920415,107.3970456082791,59.08471965526275
0.0,300,orientation,1.0,shape,1,100,100,91,0.91,0.028618176042508364,100,0.05833555117892003,0.034978680319140365,0.05182799842095989,0.06739181122237597,100,40.741784437920415,107.3970456082791,59.08471965526275
0.0,600,orientation,0.25,delta,1,100,100,77,0.77,0.042083250825001625,100,0.06011146370227121,0.04557172970305651,0.059789755138394546,0.07378177017327098,100,9.623616777374668,15.000688585285213,49.24337615127463
