trajectory_mode,statistic,effect_size,cell_id,phase,rejection_rate,monte_carlo_se,available_replicates,completed_replicates
none,angle,0.0,power_primary-30c78a391682,power_primary,0.06,0.023748684174075833,100,100
none,delta,0.0,power_primary-30c78a391682,power_primary,0.03,0.01705872210923198,100,100
none,shape,0.0,power_primary-30c78a391682,power_primary,0.03,0.01705872210923198,100,100
orientation,angle,1.0,power_primary-9d001993ad65,power_primary,0.55,0.049749371855330994,100,100
orientation,delta,1.0,power_primary-9d001993ad65,power_primary,0.69,0.04624932431938871,100,100
orientation,shape,1.0,power_primary-9d001993ad65,power_primary,0.91,0.028618176042508364,100,100
translation,angle,1.0,power_primary-06025b3dafa9,power_primary,0.02,0.014,100,100
translation,delta,1.0,power_primary-06025b3dafa9,power_primary,0.05,0.021794494717703367,100,100
translation,shape,1.0,power_primary-06025b3dafa9,power_primary,0.02,0.014,100,100
