trajectory_mode,effect_size,cell_id,phase,statistic,stratum,n_strata,eigengap_low,eigengap_high,mean_eigengap,n_replicates,n_available,n_rejected,rejection_rate,monte_carlo_se,status
orientation,1.0,power_primary-e233c34ae1ca,power_primary,angle,0,3,0.0056752422214007,0.03587830682278531,0.024302012568268427,34,34,15,0.4411764705882353,0.08515380416833712,ok
orientation,1.0,power_primary-e233c34ae1ca,power_primary,angle,1,3,0.03643379586239376,0.055249294659616366,0.0451380883351256,33,33,25,0.7575757575757576,0.07460090362383802,ok
orientation,1.0,power_primary-e233c34ae1ca,power_primary,angle,2,3,0.05564654606321218,0.11727371741726439,0.07386813739612662,33,33,28,0.8484848484848485,0.06241559400538633,ok
orientation,1.0,power_primary-e233c34ae1ca,power_primary,delta,0,3,0.0056752422214007,0.03587830682278531,0.024302012568268427,34,34,23,0.6764705882352942,0.08023094083513455,ok
orientation,1.0,power_primary-e233c34ae1ca,power_primary,delta,1,3,0.03643379586239376,0.055249294659616366,0.0451380883351256,33,33,20,0.6060606060606061,0.08505811700208933,ok
orientation,1.0,power_primary-e233c34ae1ca,power_primary,delta,2,3,0.05564654606321218,0.11727371741726439,0.07386813739612662,33,33,22,0.6666666666666666,0.08206099398622183,ok
orientation,1.0,power_primary-e233c34ae1ca,power_primary,shape,0,3,0.0056752422214007,0.03587830682278531,0.024302012568268427,34,34,33,0.9705882352941176,0.028976010768934652,ok
orientation,1.0,power_primary-e233c34ae1ca,power_primary,shape,1,3,0.03643379586239376,0.055249294659616366,0.0451380883351256,33,33,33,1.0,0.0,ok
orientation,1.0,power_primary-e233c34ae1ca,power_primary,shape,2,3,0.05564654606321218,0.11727371741726439,0.07386813739612662,33,33,33,1.0,0.0,ok
