cell_id,phase,trajectory_mode,effect_size,statistic,null_target,n_replicates,status,spearman,spearman_ci_low,spearman_ci_high,log_log_pearson,log_log_pearson_ci_low,log_log_pearson_ci_high,log_log_slope,mean_eigengap,mean_null_target,n_records_with_spectrum
power_primary-b454e41ba106,power_primary,magnitude,1.0,delta,mean,100,ok,-0.042400240024002396,-0.23684586382481082,0.1553113377099853,-0.09628850925972929,-0.28727347886626853,0.10205984668090733,-0.010703422403999758,0.042237186012241634,0.9111895315120435,100
power_primary-b454e41ba106,power_primary,magnitude,1.0,delta,sd,100,ok,-0.11321932193219321,-0.30290141908083457,0.08509107891081429,-0.14970692394176166,-0.3362379145689595,0.04812635658060379,-0.015523043803104116,0.042237186012241634,0.6695180020686844,100
power_primary-b454e41ba106,power_primary,magnitude,1.0,delta,q95,100,ok,-0.08556855685568555,-0.27732560353016017,0.11274448155328774,-0.18425606694650015,-0.3673783117107877,0.012618738397197318,-0.02088387800803086,0.042237186012241634,2.1924986558492208,100
power_primary-b454e41ba106,power_primary,magnitude,1.0,angle,mean,100,ok,-0.7918631863186317,-0.855257705087664,-0.7051162200096132,-0.7586528835225438,-0.8312097937727245,-0.6606856262817682,-0.8141849329465709,0.042237186012241634,27.96986018560243,100
power_primary-b454e41ba106,power_primary,magnitude,1.0,angle,sd,100,ok,-0.6498049804980497,-0.750441628282122,-0.5197206080375399,-0.6282152547720666,-0.7340560932874339,-0.49257770821575875,-0.799241407019489,0.042237186012241634,25.566002602487146,100
power_primary-b454e41ba106,power_primary,magnitude,1.0,angle,q95,100,ok,-0.7013141314131414,-0.7890411923559121,-0.5855569534487589,-0.7144789528361954,-0.7987966550401975,-0.6026321951206891,-0.9211157034578582,0.042237186012241634,76.06622315302144,100
power_primary-b454e41ba106,power_primary,magnitude,1.0,shape,mean,100,ok,0.05272127212721272,-0.1452004562519198,0.24658589105923578,0.03428413436268454,-0.1632331997900975,0.22915908897898635,0.002237066625410185,0.042237186012241634,0.0248583033817649,100
power_primary-b454e41ba106,power_primary,magnitude,1.0,shape,sd,100,ok,0.001884188418841884,-0.19460595073482498,0.1982289438003458,0.03067869482864907,-0.16674419863137976,0.2257365575388479,0.0037268352765568854,0.042237186012241634,0.008196145877194362,100
power_primary-b454e41ba106,power_primary,magnitude,1.0,shape,q95,100,ok,-0.03794779477947794,-0.23263195888541782,0.15966037295406485,0.01132462716335628,-0.18550612328098412,0.20728167537360048,0.0009472682485724977,0.042237186012241634,0.03900917092819938,100
type_i_baseline-5c0f9fe8a4ad,type_i_baseline,none,,delta,mean,100,ok,-0.11209120912091208,-0.3018632801490911,0.08622530914514974,-0.0647185713328354,-0.257858813572883,0.1333952534664642,-0.022003773484144083,0.0450481276292728,0.3620470394616238,100
type_i_baseline-5c0f9fe8a4ad,type_i_baseline,none,,delta,sd,100,ok,-0.08772877287728773,-0.2793335488049026,0.11059506594360158,-0.06258984788125972,-0.25586244887919973,0.13549400328295627,-0.02066511350486351,0.0450481276292728,0.27143235175233144,100
type_i_baseline-5c0f9fe8a4ad,type_i_baseline,none,,delta,q95,100,ok,-0.0916171617161716,-0.28294363221396474,0.1067214370892999,-0.07015440465566734,-0.262949188719828,0.12802788558045314,-0.02363502592520958,0.0450481276292728,0.8715733466250579,100
type_i_baseline-5c0f9fe8a4ad,type_i_baseline,none,,angle,mean,100,ok,-0.8210141014101409,-0.8761435233398738,-0.7446854879404877,-0.7221286990459143,-0.8044450121120993,-0.6126014573628111,-0.9886682723422194,0.0450481276292728,15.282147529779502,100
type_i_baseline-5c0f9fe8a4ad,type_i_baseline,none,,angle,sd,100,ok,-0.7506270627062706,-0.8253571941789428,-0.6500502433152443,-0.6249491751948394,-0.7315665215858289,-0.4884944000083101,-1.0847294061326695,0.0450481276292728,15.824447717424887,100
type_i_baseline-5c0f9fe8a4ad,type_i_baseline,none,,angle,q95,100,ok,-0.8139453945394538,-0.8710979306740861,-0.7350409334149017,-0.708119576529312,-0.7940897278246118,-0.5943710508978473,-1.0918697731387275,0.0450481276292728,40.456870243724126,100
type_i_baseline-5c0f9fe8a4ad,type_i_baseline,none,,shape,mean,100,ok,-0.12308430843084306,-0.3119604733960195,0.07515065048902177,-0.12339800084211779,-0.31224797602769655,0.07483391148118661,-0.03465454113050101,0.0450481276292728,0.010188237894583068,100
type_i_baseline-5c0f9fe8a4ad,type_i_baseline,none,,shape,sd,100,ok,-0.08663666366636663,-0.27831863032183657,0.11168194686697581,-0.09977091687555706,-0.2904962334121856,0.09857903600622214,-0.033832841766957104,0.0450481276292728,0.0036135156855281393,100
type_i_baseline-5c0f9fe8a4ad,type_i_baseline,none,,shape,q95,100,ok,-0.1084188418841884,-0.29848068653863075,0.08991403333723956,-0.11464636524617255,-0.3042140024171572,0.08365556048614053,-0.034631639206785844,0.0450481276292728,0.01649548887531095,100
power_primary-e233c34ae1ca,power_primary,orientation,1.0,delta,mean,100,ok,0.06316231623162316,-0.1349297703056265,0.25639948466252965,0.0697772252096289,-0.12840068956556447,0.2625963259960697,0.023324388361361276,0.0475347387645245,0.4271575952354963,100
power_primary-e233c34ae1ca,power_primary,orientation,1.0,delta,sd,100,ok,0.10171017101710168,-0.09663856488838576,0.29228902039124466,0.09474046821913534,-0.10360561996701523,0.2858394722130833,0.03128364053973536,0.0475347387645245,0.32167472573251593,100
power_primary-e233c34ae1ca,power_primary,orientation,1.0,delta,q95,100,ok,0.0931053105310531,-0.10523734239999726,0.2843238362012035,0.08352504908593772,-0.11477606555085128,0.27542459684981097,0.02784882464490428,0.0475347387645245,1.033031498977192,100
power_primary-e233c34ae1ca,power_primary,orientation,1.0,angle,mean,100,ok,-0.7829582958295829,-0.8488362654903985,-0.6931355499080737,-0.6728000124366115,-0.7677587281852247,-0.5489219983227415,-1.055913450740901,0.0475347387645245,16.1489650090882,100
power_primary-e233c34ae1ca,power_primary,orientation,1.0,angle,sd,100,ok,-0.7524752475247524,-0.8267063547015026,-0.6524958705605356,-0.6190644941523716,-0.7270737306257959,-0.4811523257561128,-1.2718950389501498,0.0475347387645245,16.343246651472526,100
power_primary-e233c34ae1ca,power_primary,orientation,1.0,angle,q95,100,ok,-0.7493909390939093,-0.8244543570480627,-0.6484156935587373,-0.622040996803587,-0.7293473646958786,-0.4848635689957394,-1.1412994811609045,0.0475347387645245,43.89936767797328,100
power_primary-e233c34ae1ca,power_primary,orientation,1.0,shape,mean,100,ok,-0.05980198019801979,-0.25324542835817637,0.13823993030052167,-0.04774044649211294,-0.24189033704321605,0.1500850318366076,-0.01530858587680722,0.0475347387645245,0.014473950856119393,100
power_primary-e233c34ae1ca,power_primary,orientation,1.0,shape,sd,100,ok,-0.018517851785178518,-0.21415702861571756,0.17854969427097214,-0.01583170912292868,-0.21159185347631093,0.18114971797282153,-0.00595298984144249,0.0475347387645245,0.005045415595038719,100
power_primary-e233c34ae1ca,power_primary,orientation,1.0,shape,q95,100,ok,-0.0315991599159916,-0.2266107843374695,0.16584831982753445,-0.01919872392987975,-0.21480681002544763,0.17789021369500926,-0.006688906901534192,0.0475347387645245,0.02337480559162654,100
power_primary-ebe229f72db1,power_primary,translation,1.0,delta,mean,100,ok,0.03793579357935793,-0.1596720850644505,0.23262059076473085,0.098767199189231,-0.09958279152249552,0.28956779791545156,0.037613108069201054,0.043074551722603494,0.3435254867357411,100
power_primary-ebe229f72db1,power_primary,translation,1.0,delta,sd,100,ok,0.04183618361836183,-0.15586271793642667,0.23631243120588483,0.08341071458300776,-0.11488968393816572,0.275318190946247,0.03161481423201942,0.043074551722603494,0.26019486087867316,100
power_primary-ebe229f72db1,power_primary,translation,1.0,delta,q95,100,ok,0.05345334533453345,-0.14448171556655565,0.24727526915697173,0.09314028218382212,-0.1052024553912507,0.28435626161005556,0.03568234365027171,0.043074551722603494,0.8391576476437247,100
power_primary-ebe229f72db1,power_primary,translation,1.0,angle,mean,100,ok,-0.864146414641464,-0.9066715349757648,-0.8042341933107913,-0.7785947048021333,-0.8456825067801963,-0.6872828222173647,-1.0504054148725208,0.043074551722603494,10.322633837256905,100
power_primary-ebe229f72db1,power_primary,translation,1.0,angle,sd,100,ok,-0.7636123612361235,-0.8348183294896501,-0.6672773775154653,-0.6686199766422026,-0.764621109555373,-0.5435911880979057,-1.2353800234974146,0.043074551722603494,11.242265881407969,100
power_primary-ebe229f72db1,power_primary,translation,1.0,angle,q95,100,ok,-0.8360756075607559,-0.8868541797026737,-0.7653423075193225,-0.7091339945888594,-0.7948412467923548,-0.5956872227604159,-1.2237735531355018,0.043074551722603494,33.03154571255274,100
power_primary-ebe229f72db1,power_primary,translation,1.0,shape,mean,100,ok,0.015769576957695767,-0.18120982558726684,0.2115324874354823,0.06595054406044938,-0.13217981531556902,0.259013432374483,0.020011859362248915,0.043074551722603494,0.00956384251750765,100
power_primary-ebe229f72db1,power_primary,translation,1.0,shape,sd,100,ok,0.009576957695769576,-0.18719328703290505,0.20560830805607871,0.06366484711060764,-0.1344343627913915,0.25687081339798945,0.02365703076358143,0.043074551722603494,0.0033665281586401376,100
power_primary-ebe229f72db1,power_primary,translation,1.0,shape,q95,100,ok,0.00898889888988899,-0.1877607258627144,0.20504499270062182,0.05731433371422687,-0.1406875848005011,0.2509078379576245,0.019308188784517694,0.043074551722603494,0.015485557442938154,100
type_i_baseline-82750f50d4bc,type_i_baseline,translation,1.0,delta,mean,100,ok,0.010897089708970896,-0.1859189662975844,0.20687242058948346,0.05331701172621082,-0.14461558209449926,0.2471469015033157,0.020816816847306373,0.0531825077653572,0.3510566313940634,100
type_i_baseline-82750f50d4bc,type_i_baseline,translation,1.0,delta,sd,100,ok,0.0044044404440444045,-0.19217993438647488,0.2006489743104117,0.04397105461595438,-0.15377517493092724,0.23833077805957179,0.017189202860546107,0.0531825077653572,0.2656846428578836,100
type_i_baseline-82750f50d4bc,type_i_baseline,translation,1.0,delta,q95,100,ok,0.01939393939393939,-0.17770109882808308,0.21499307940866072,0.05277904282970877,-0.14514374526062646,0.2466402996582899,0.020442088390888617,0.0531825077653572,0.858255240773227,100
type_i_baseline-82750f50d4bc,type_i_baseline,translation,1.0,angle,mean,100,ok,-0.7545154515451544,-0.8281946970842973,-0.6551980095999735,-0.6248904875490595,-0.7315217608620666,-0.4884210823352676,-0.9364502360383643,0.0531825077653572,12.605861557919136,100
type_i_baseline-82750f50d4bc,type_i_baseline,translation,1.0,angle,sd,100,ok,-0.6557095709570956,-0.7549014812363933,-0.5271899555771474,-0.5334532318179845,-0.6606486621763018,-0.3764829526059367,-0.9985096099771688,0.0531825077653572,13.238901327728465,100
type_i_baseline-82750f50d4bc,type_i_baseline,translation,1.0,angle,q95,100,ok,-0.7398859885988598,-0.8174993652523208,-0.6358781420468671,-0.6086591563612601,-0.7191068391507869,-0.4682171934816093,-1.0275386614205069,0.0531825077653572,34.134422636280675,100
type_i_baseline-82750f50d4bc,type_i_baseline,translation,1.0,shape,mean,100,ok,0.14007800780078009,-0.05793410053266296,0.32748572942313486,0.1263534259816303,-0.0718478181874354,0.31495495932807666,0.03739550670589925,0.0531825077653572,0.009877472855694444,100
type_i_baseline-82750f50d4bc,type_i_baseline,translation,1.0,shape,sd,100,ok,0.17608160816081606,-0.02106505755571645,0.36004726853921715,0.17786235508052392,-0.01922748217048692,0.3616462213427008,0.06737367362249773,0.0531825077653572,0.0035385749172031082,100
type_i_baseline-82750f50d4bc,type_i_baseline,translation,1.0,shape,q95,100,ok,0.1633123312331233,-0.03420293099159262,0.3485498411436283,0.14609366865842174,-0.05181119421488054,0.33295742538469486,0.04865003550541786,0.0531825077653572,0.016033719353445636,100
