trajectory_mode,effect_size,statistic,first_material_checkpoint,classification,materiality_threshold,normalized_value,normalized_null,normalized_excess,measurement_space
magnitude,0.25,angle,population_standardized,construction_present,0.05,0.06419651980537329,3.860111312426262e-09,0.06419651594526198,standardized_feature
magnitude,0.5,angle,population_standardized,construction_present,0.05,0.11039487172985472,3.860111312426262e-09,0.11039486786974341,standardized_feature
magnitude,0.75,angle,population_standardized,construction_present,0.05,0.14842702748980957,3.860111312426262e-09,0.14842702362969826,standardized_feature
magnitude,1.0,angle,population_standardized,construction_present,0.05,0.17564978425439903,3.860111312426262e-09,0.17564978039428772,standardized_feature
magnitude,0.25,shape,,not_material,0.05,,,,
magnitude,0.5,shape,,not_material,0.05,,,,
magnitude,0.75,shape,,not_material,0.05,,,,
magnitude,1.0,shape,,not_material,0.05,,,,
orientation,0.25,delta,,not_material,0.05,,,,
orientation,0.5,delta,,not_material,0.05,,,,
orientation,0.75,delta,,not_material,0.05,,,,
orientation,1.0,delta,pls_latent,projection_associated,0.05,0.06008751499106098,0.0025974014221222834,0.0574901135689387,pls_latent
orientation,0.25,shape,,not_material,0.05,,,,
orientation,0.5,shape,population_standardized,construction_present,0.05,0.05195424768333349,1.128768299287522e-15,0.05195424768333236,standardized_feature
orientation,0.75,shape,population_standardized,construction_present,0.05,0.056835897928511306,1.128768299287522e-15,0.056835897928510175,standardized_feature
orientation,1.0,shape,population_standardized,construction_present,0.05,0.05887649906529364,1.128768299287522e-15,0.058876499065292506,standardized_feature
shape,0.25,angle,population_standardized,construction_present,0.05,0.23035465428625893,3.860111312426262e-09,0.2303546504261476,standardized_feature
shape,0.5,angle,population_standardized,construction_present,0.05,0.3435011886032865,3.860111312426262e-09,0.3435011847431752,standardized_feature
shape,0.75,angle,population_standardized,construction_present,0.05,0.40605304554339355,3.860111312426262e-09,0.40605304168328227,standardized_feature
shape,1.0,angle,population_standardized,construction_present,0.05,0.45121142881504267,3.860111312426262e-09,0.4512114249549314,standardized_feature
shape,0.25,delta,,not_material,0.05,,,,
shape,0.5,delta,,not_material,0.05,,,,
shape,0.75,delta,,not_material,0.05,,,,
shape,1.0,delta,population_standardized,construction_present,0.05,0.05251789424170892,0.0,0.05251789424170892,standardized_feature
translation,0.25,angle,,not_material,0.05,,,,
translation,0.5,angle,,not_material,0.05,,,,
translation,0.75,angle,,not_material,0.05,,,,
translation,1.0,angle,,not_material,0.05,,,,
translation,0.25,shape,,not_material,0.05,,,,
translation,0.5,shape,,not_material,0.05,,,,
translation,0.75,shape,,not_material,0.05,,,,
translation,1.0,shape,,not_material,0.05,,,,
