cell_id,phase,trajectory_mode,varied_axis,varied_value,completed_replicates,delta_rate,delta_se,delta_available,angle_rate,angle_se,angle_available,shape_rate,shape_se,shape_available,combined_rate,combined_se,combined_available
type_i_baseline-c9b8da02420a,type_i_baseline,none,,,500,0.05,0.009746794344808964,500,0.04,0.008763560920082658,500,0.054,0.010107818755794942,500,0.126,0.01484075469779081,500
type_i_baseline-d18f474778c9,type_i_baseline,translation,,,500,0.044,0.009172131704244111,500,0.048,0.009559916317625379,500,0.062,0.010784804124322332,500,0.132,0.01513776733867977,500
