trajectory_mode,effect_size,cell_id,phase,checkpoint,scope,measurement_space,statistic,n_replicates,n_available,n_unavailable,mean,sd,median
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,observed_standardized,expression,standardized_feature,path_length[B],500,500,0,33.10480200644324,1.4754267130234822,33.18718971055168
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,observed_standardized,expression,standardized_feature,shape,500,500,0,0.010910285875605056,0.003720239459514949,0.010699122227227357
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,observed_standardized,joint,standardized_feature,angle,500,500,0,15.546472834497127,24.70483049683889,10.69599277189277
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,observed_standardized,joint,standardized_feature,delta,500,500,0,6.361404658903104,0.3926495531964786,6.365588980420483
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,observed_standardized,joint,standardized_feature,path_length[A],500,500,0,66.51584677074545,2.627741167888059,66.64935824821006
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,observed_standardized,joint,standardized_feature,path_length[B],500,500,0,72.8772514296485,2.8191074890784806,72.98559165405425
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,observed_standardized,joint,standardized_feature,shape,500,500,0,0.009510960559012856,0.003320249622921354,0.009052206454454727
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,observed_standardized,methylation,standardized_feature,angle,500,500,0,18.62293205933892,28.58714835671656,11.18670789802848
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,observed_standardized,methylation,standardized_feature,delta,500,500,0,9.846056314334188,0.49661478354018324,9.850906560120428
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,observed_standardized,methylation,standardized_feature,path_length[A],500,500,0,40.06982568624249,1.5869024696871903,40.05066427670046
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,observed_standardized,methylation,standardized_feature,path_length[B],500,500,0,49.91588200057665,1.9940336173824929,49.886715310611336
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,observed_standardized,methylation,standardized_feature,shape,500,500,0,0.011461030669318403,0.005489470956790826,0.010266294230348721
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,observed_standardized,proteomics,standardized_feature,angle,500,500,0,8.74427702033995,18.640124171975977,6.240787271987031
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,observed_standardized,proteomics,standardized_feature,delta,500,500,0,0.12068259472195529,0.09069701477612614,0.1031264780432366
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,observed_standardized,proteomics,standardized_feature,path_length[A],500,500,0,41.44074354138149,2.0132981330937825,41.51251442025993
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,observed_standardized,proteomics,standardized_feature,path_length[B],500,500,0,41.451142181358115,2.0144344339990727,41.49046983258094
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,observed_standardized,proteomics,standardized_feature,shape,500,500,0,0.006657437128326099,0.0022383537982437283,0.006397389984171983
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,pls_latent,joint,pls_latent,angle,500,500,0,8.936855909424994,27.078235512362443,3.303052860732833
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,pls_latent,joint,pls_latent,delta,500,500,0,6.275643946709862,0.5518770170651675,6.35467458076576
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,pls_latent,joint,pls_latent,path_length[A],500,500,0,65.16529793632931,4.320044831225745,65.90413890494546
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,pls_latent,joint,pls_latent,path_length[B],500,500,0,71.44094188303917,4.745197727125303,72.29999615298188
magnitude,0.25,power_primary-cfb3246b2bad,power_primary,pls_latent,joint,pls_latent,shape,500,500,0,0.009504606964685183,0.003374927538920164,0.009099746167912526
magnitude,0.5,power_primary-a232c2e1578d,power_primary,population_native,expression,native_omic_units,angle,500,500,0,6.766558713735963e-07,8.407865725346697e-07,0.0
magnitude,0.5,power_primary-a232c2e1578d,power_primary,population_native,expression,native_omic_units,delta,500,500,0,0.0,0.0,0.0
magnitude,0.5,power_primary-a232c2e1578d,power_primary,population_native,expression,native_omic_units,path_length[A],500,500,0,38.094006672512265,1.6683249866275307,38.094869042197594
magnitude,0.5,power_primary-a232c2e1578d,power_primary,population_native,expression,native_omic_units,path_length[B],500,500,0,38.094006672512265,1.6683249866275307,38.094869042197594
magnitude,0.5,power_primary-a232c2e1578d,power_primary,population_native,expression,native_omic_units,shape,500,500,0,1.1685644878618724e-15,4.129192428835666e-16,1.0715771035747028e-15
magnitude,0.5,power_primary-a232c2e1578d,power_primary,population_native,methylation,native_omic_units,angle,500,500,0,0.7200005930349039,11.372786766415658,0.0
magnitude,0.5,power_primary-a232c2e1578d,power_primary,population_native,methylation,native_omic_units,delta,500,500,0,24.29419821306485,0.9708451756223938,24.306097880018825
magnitude,0.5,power_primary-a232c2e1578d,power_primary,population_native,methylation,native_omic_units,path_length[A],500,500,0,48.58839642612972,1.9416903512447894,48.61219576003766
magnitude,0.5,power_primary-a232c2e1578d,power_primary,population_native,methylation,native_omic_units,path_length[B],500,500,0,72.88259463919456,2.912535526867183,72.91829364005648
magnitude,0.5,power_primary-a232c2e1578d,power_primary,population_native,methylation,native_omic_units,shape,500,500,0,1.5529664473339735e-15,4.1745071864587034e-16,1.4834633062168693e-15
magnitude,0.5,power_primary-a232c2e1578d,power_primary,population_native,proteomics,native_omic_units,angle,500,500,0,7.185190219170285e-07,8.913341914960176e-07,0.0
magnitude,0.5,power_primary-a232c2e1578d,power_primary,population_native,proteomics,native_omic_units,delta,500,500,0,0.0,0.0,0.0
magnitude,0.5,power_primary-a232c2e1578d,power_primary,population_native,proteomics,native_omic_units,path_length[A],500,500,0,42.224188356396326,2.045071257278377,42.27713074439798
magnitude,0.5,power_primary-a232c2e1578d,power_primary,population_native,proteomics,native_omic_units,path_length[B],500,500,0,42.224188356396326,2.045071257278377,42.27713074439798
magnitude,0.5,power_primary-a232c2e1578d,power_primary,population_native,proteomics,native_omic_units,shape,500,500,0,1.2667037260012575e-15,4.615301046132077e-16,1.139582044468693e-15
magnitude,0.5,power_primary-a232c2e1578d,power_primary,population_standardized,expression,standardized_feature,angle,500,500,0,6.649943507046935e-07,8.309403870102457e-07,0.0
magnitude,0.5,power_primary-a232c2e1578d,power_primary,population_standardized,expression,standardized_feature,delta,500,500,0,0.0,0.0,0.0
magnitude,0.5,power_primary-a232c2e1578d,power_primary,population_standardized,expression,standardized_feature,path_length[A],500,500,0,32.96644730373285,1.4835658358060004,33.0446741742487
magnitude,0.5,power_primary-a232c2e1578d,power_primary,population_standardized,expression,standardized_feature,path_length[B],500,500,0,32.96644730373285,1.4835658358060004,33.0446741742487
magnitude,0.5,power_primary-a232c2e1578d,power_primary,population_standardized,expression,standardized_feature,shape,500,500,0,9.220699889100627e-16,3.6456315682082835e-16,8.561506549267125e-16
magnitude,0.5,power_primary-a232c2e1578d,power_primary,population_standardized,joint,standardized_feature,angle,500,500,0,19.87107691137385,30.354032736561276,12.119946848250226
magnitude,0.5,power_primary-a232c2e1578d,power_primary,population_standardized,joint,standardized_feature,delta,500,500,0,11.748673918978824,0.600364563803679,11.721122082880612
magnitude,0.5,power_primary-a232c2e1578d,power_primary,population_standardized,joint,standardized_feature,path_length[A],500,500,0,64.13647891667715,2.603985118349125,64.24850226854213
magnitude,0.5,power_primary-a232c2e1578d,power_primary,population_standardized,joint,standardized_feature,path_length[B],500,500,0,75.88515283565602,2.937689156041575,75.95984394851683
magnitude,0.5,power_primary-a232c2e1578d,power_primary,population_standardized,joint,standardized_feature,shape,500,500,0,0.01382747055318677,0.004482374453640825,0.01378869916868184
magnitude,0.5,power_primary-a232c2e1578d,power_primary,population_standardized,methylation,standardized_feature,angle,500,500,0,5.922646129444427e-07,7.265738034322863e-07,0.0
magnitude,0.5,power_primary-a232c2e1578d,power_primary,population_standardized,methylation,standardized_feature,delta,500,500,0,18.128326554213583,0.7267976878947224,18.13648696284896
magnitude,0.5,power_primary-a232c2e1578d,power_primary,population_standardized,methylation,standardized_feature,path_length[A],500,500,0,36.256653108427166,1.4535953757894458,36.27297392569794
magnitude,0.5,power_primary-a232c2e1578d,power_primary,population_standardized,methylation,standardized_feature,path_length[B],500,500,0,54.38497966264077,2.1803930636841686,54.409460888546896
magnitude,0.5,power_primary-a232c2e1578d,power_primary,population_standardized,methylation,standardized_feature,shape,500,500,0,1.0083544071175968e-15,3.669253811767234e-16,9.537730845413755e-16
magnitude,0.5,power_primary-a232c2e1578d,power_primary,population_standardized,proteomics,standardized_feature,angle,500,500,0,7.110199511861351e-07,8.358118006783851e-07,0.0
magnitude,0.5,power_primary-a232c2e1578d,power_primary,population_standardized,proteomics,standardized_feature,delta,500,500,0,0.0,0.0,0.0
magnitude,0.5,power_primary-a232c2e1578d,power_primary,population_standardized,proteomics,standardized_feature,path_length[A],500,500,0,41.33123336317876,2.0256398395172086,41.362474389797455
magnitude,0.5,power_primary-a232c2e1578d,power_primary,population_standardized,proteomics,standardized_feature,path_length[B],500,500,0,41.33123336317876,2.0256398395172086,41.362474389797455
magnitude,0.5,power_primary-a232c2e1578d,power_primary,population_standardized,proteomics,standardized_feature,shape,500,500,0,9.782936326277394e-16,3.6254679141800167e-16,9.07655959779128e-16
magnitude,0.5,power_primary-a232c2e1578d,power_primary,observed_standardized,expression,standardized_feature,angle,500,500,0,13.228874724647621,25.72104195750493,7.906912773358696
magnitude,0.5,power_primary-a232c2e1578d,power_primary,observed_standardized,expression,standardized_feature,delta,500,500,0,0.15256746372147373,0.11570534025610141,0.13271284764242353
magnitude,0.5,power_primary-a232c2e1578d,power_primary,observed_standardized,expression,standardized_feature,path_length[A],500,500,0,33.122093779779796,1.4708445661474974,33.20498475791092
magnitude,0.5,power_primary-a232c2e1578d,power_primary,observed_standardized,expression,standardized_feature,path_length[B],500,500,0,33.10480200644324,1.475426713023482,33.18718971055168
magnitude,0.5,power_primary-a232c2e1578d,power_primary,observed_standardized,expression,standardized_feature,shape,500,500,0,0.010910285875605058,0.003720239459514946,0.01069912222722746
magnitude,0.5,power_primary-a232c2e1578d,power_primary,observed_standardized,joint,standardized_feature,angle,500,500,0,21.324941669113397,27.2309162083814,14.78393206171846
magnitude,0.5,power_primary-a232c2e1578d,power_primary,observed_standardized,joint,standardized_feature,delta,500,500,0,11.686039296360953,0.6333710621631169,11.67874556534214
magnitude,0.5,power_primary-a232c2e1578d,power_primary,observed_standardized,joint,standardized_feature,path_length[A],500,500,0,64.53041938609749,2.5750439274686414,64.68894207950939
magnitude,0.5,power_primary-a232c2e1578d,power_primary,observed_standardized,joint,standardized_feature,path_length[B],500,500,0,76.21645868245848,2.919236486483994,76.25164886268692
magnitude,0.5,power_primary-a232c2e1578d,power_primary,observed_standardized,joint,standardized_feature,shape,500,500,0,0.014632582943097631,0.004944965437908899,0.014297225546662292
magnitude,0.5,power_primary-a232c2e1578d,power_primary,observed_standardized,methylation,standardized_feature,angle,500,500,0,20.70880065713983,32.77838140330585,11.408564256702434
magnitude,0.5,power_primary-a232c2e1578d,power_primary,observed_standardized,methylation,standardized_feature,delta,500,500,0,17.98687364595797,0.789105403099052,17.99501857654202
magnitude,0.5,power_primary-a232c2e1578d,power_primary,observed_standardized,methylation,standardized_feature,path_length[A],500,500,0,36.685235832953076,1.439982592705543,36.705914341829114
magnitude,0.5,power_primary-a232c2e1578d,power_primary,observed_standardized,methylation,standardized_feature,path_length[B],500,500,0,54.672109478911054,2.172617453327451,54.64038270821656
magnitude,0.5,power_primary-a232c2e1578d,power_primary,observed_standardized,methylation,standardized_feature,shape,500,500,0,0.011718789136493164,0.0060550622995112005,0.010150173410784086
magnitude,0.5,power_primary-a232c2e1578d,power_primary,observed_standardized,proteomics,standardized_feature,angle,500,500,0,8.744277020339958,18.64012417197597,6.240787271987003
magnitude,0.5,power_primary-a232c2e1578d,power_primary,observed_standardized,proteomics,standardized_feature,delta,500,500,0,0.12068259472195553,0.09069701477612592,0.10312647804323305
magnitude,0.5,power_primary-a232c2e1578d,power_primary,observed_standardized,proteomics,standardized_feature,path_length[A],500,500,0,41.44074354138149,2.0132981330937825,41.51251442025993
magnitude,0.5,power_primary-a232c2e1578d,power_primary,observed_standardized,proteomics,standardized_feature,path_length[B],500,500,0,41.451142181358115,2.0144344339990727,41.49046983258094
magnitude,0.5,power_primary-a232c2e1578d,power_primary,observed_standardized,proteomics,standardized_feature,shape,500,500,0,0.006657437128326099,0.0022383537982437252,0.006397389984171864
magnitude,0.5,power_primary-a232c2e1578d,power_primary,pls_latent,joint,pls_latent,angle,500,500,0,11.678544088302077,28.45201782353903,4.739598417906739
magnitude,0.5,power_primary-a232c2e1578d,power_primary,pls_latent,joint,pls_latent,delta,500,500,0,11.578750903952665,0.9225645529903418,11.712337162769565
magnitude,0.5,power_primary-a232c2e1578d,power_primary,pls_latent,joint,pls_latent,path_length[A],500,500,0,63.02246653679413,4.11172899991857,63.624853385654454
magnitude,0.5,power_primary-a232c2e1578d,power_primary,pls_latent,joint,pls_latent,path_length[B],500,500,0,74.60121744074674,4.8525310710393255,75.52359570210493
magnitude,0.5,power_primary-a232c2e1578d,power_primary,pls_latent,joint,pls_latent,shape,500,500,0,0.01468212767678563,0.005052821765114766,0.014436504473525642
magnitude,0.75,power_primary-3b941f099b80,power_primary,population_native,expression,native_omic_units,angle,500,500,0,7.144820547860413e-07,8.697412253938455e-07,0.0
magnitude,0.75,power_primary-3b941f099b80,power_primary,population_native,expression,native_omic_units,delta,500,500,0,0.0,0.0,0.0
magnitude,0.75,power_primary-3b941f099b80,power_primary,population_native,expression,native_omic_units,path_length[A],500,500,0,38.094006672512265,1.6683249866275307,38.094869042197594
magnitude,0.75,power_primary-3b941f099b80,power_primary,population_native,expression,native_omic_units,path_length[B],500,500,0,38.094006672512265,1.6683249866275307,38.094869042197594
magnitude,0.75,power_primary-3b941f099b80,power_primary,population_native,expression,native_omic_units,shape,500,500,0,1.1773178509387237e-15,3.9712727691806925e-16,1.076473500356041e-15
magnitude,0.75,power_primary-3b941f099b80,power_primary,population_native,methylation,native_omic_units,angle,500,500,0,6.054953458745827e-07,7.543215022940319e-07,0.0
magnitude,0.75,power_primary-3b941f099b80,power_primary,population_native,methylation,native_omic_units,delta,500,500,0,36.44129731959728,1.456267763433592,36.459146820028245
magnitude,0.75,power_primary-3b941f099b80,power_primary,population_native,methylation,native_omic_units,path_length[A],500,500,0,48.58839642612972,1.9416903512447894,48.61219576003766
magnitude,0.75,power_primary-3b941f099b80,power_primary,population_native,methylation,native_omic_units,path_length[B],500,500,0,85.02969374572706,3.397958114678382,85.0713425800659
magnitude,0.75,power_primary-3b941f099b80,power_primary,population_native,methylation,native_omic_units,shape,500,500,0,1.5458133774711127e-15,3.9271020829869365e-16,1.482129201456825e-15
magnitude,0.75,power_primary-3b941f099b80,power_primary,population_native,proteomics,native_omic_units,angle,500,500,0,7.512238680503533e-07,9.124136362798304e-07,0.0
magnitude,0.75,power_primary-3b941f099b80,power_primary,population_native,proteomics,native_omic_units,delta,500,500,0,0.0,0.0,0.0
magnitude,0.75,power_primary-3b941f099b80,power_primary,population_native,proteomics,native_omic_units,path_length[A],500,500,0,42.224188356396326,2.045071257278377,42.27713074439798
magnitude,0.75,power_primary-3b941f099b80,power_primary,population_native,proteomics,native_omic_units,path_length[B],500,500,0,42.224188356396326,2.045071257278377,42.27713074439798
magnitude,0.75,power_primary-3b941f099b80,power_primary,population_native,proteomics,native_omic_units,shape,500,500,0,1.2853228653578812e-15,4.600782958502829e-16,1.1626884200918298e-15
magnitude,0.75,power_primary-3b941f099b80,power_primary,population_standardized,expression,standardized_feature,angle,500,500,0,6.54822837232629e-07,8.337557707873544e-07,0.0
magnitude,0.75,power_primary-3b941f099b80,power_primary,population_standardized,expression,standardized_feature,delta,500,500,0,0.0,0.0,0.0
magnitude,0.75,power_primary-3b941f099b80,power_primary,population_standardized,expression,standardized_feature,path_length[A],500,500,0,32.96644730373285,1.4835658358060002,33.0446741742487
magnitude,0.75,power_primary-3b941f099b80,power_primary,population_standardized,expression,standardized_feature,path_length[B],500,500,0,32.96644730373285,1.4835658358060002,33.0446741742487
magnitude,0.75,power_primary-3b941f099b80,power_primary,population_standardized,expression,standardized_feature,shape,500,500,0,9.333284377736906e-16,3.851950442052867e-16,8.590892107393029e-16
magnitude,0.75,power_primary-3b941f099b80,power_primary,population_standardized,joint,standardized_feature,angle,500,500,0,26.716864948165725,33.38062906752904,16.589013507810918
magnitude,0.75,power_primary-3b941f099b80,power_primary,population_standardized,joint,standardized_feature,delta,500,500,0,16.080307640575093,0.8157466521251893,16.048464391387455
magnitude,0.75,power_primary-3b941f099b80,power_primary,population_standardized,joint,standardized_feature,path_length[A],500,500,0,62.417765924980415,2.5642886469386243,62.589283874149
magnitude,0.75,power_primary-3b941f099b80,power_primary,population_standardized,joint,standardized_feature,path_length[B],500,500,0,78.49807356555549,3.0180188626665214,78.60289352694713
magnitude,0.75,power_primary-3b941f099b80,power_primary,population_standardized,joint,standardized_feature,shape,500,500,0,0.018791448428150965,0.00608580033681721,0.018689791439162287
magnitude,0.75,power_primary-3b941f099b80,power_primary,population_standardized,methylation,standardized_feature,angle,500,500,0,5.718542216207467e-07,7.437593755420055e-07,0.0
magnitude,0.75,power_primary-3b941f099b80,power_primary,population_standardized,methylation,standardized_feature,delta,500,500,0,24.845396888679254,0.9915589163844201,24.847266601654095
magnitude,0.75,power_primary-3b941f099b80,power_primary,population_standardized,methylation,standardized_feature,path_length[A],500,500,0,33.127195851572374,1.3220785551792267,33.12968880220545
magnitude,0.75,power_primary-3b941f099b80,power_primary,population_standardized,methylation,standardized_feature,path_length[B],500,500,0,57.97259274025157,2.3136374715636454,57.97695540385955
magnitude,0.75,power_primary-3b941f099b80,power_primary,population_standardized,methylation,standardized_feature,shape,500,500,0,1.004538772488544e-15,3.2726589364373283e-16,9.431503457474835e-16
magnitude,0.75,power_primary-3b941f099b80,power_primary,population_standardized,proteomics,standardized_feature,angle,500,500,0,7.119609795583421e-07,8.332574970251164e-07,0.0
magnitude,0.75,power_primary-3b941f099b80,power_primary,population_standardized,proteomics,standardized_feature,delta,500,500,0,0.0,0.0,0.0
magnitude,0.75,power_primary-3b941f099b80,power_primary,population_standardized,proteomics,standardized_feature,path_length[A],500,500,0,41.33123336317876,2.0256398395172086,41.362474389797455
magnitude,0.75,power_primary-3b941f099b80,power_primary,population_standardized,proteomics,standardized_feature,path_length[B],500,500,0,41.33123336317876,2.0256398395172086,41.362474389797455
magnitude,0.75,power_primary-3b941f099b80,power_primary,population_standardized,proteomics,standardized_feature,shape,500,500,0,9.820084605328442e-16,3.636265561543091e-16,9.068269371421127e-16
magnitude,0.75,power_primary-3b941f099b80,power_primary,observed_standardized,expression,standardized_feature,angle,500,500,0,13.22887472464763,25.721041957504934,7.906912773358696
magnitude,0.75,power_primary-3b941f099b80,power_primary,observed_standardized,expression,standardized_feature,delta,500,500,0,0.15256746372147356,0.11570534025610141,0.13271284764242353
magnitude,0.75,power_primary-3b941f099b80,power_primary,observed_standardized,expression,standardized_feature,path_length[A],500,500,0,33.122093779779796,1.4708445661474974,33.20498475791092
magnitude,0.75,power_primary-3b941f099b80,power_primary,observed_standardized,expression,standardized_feature,path_length[B],500,500,0,33.10480200644324,1.4754267130234826,33.18718971055168
