trajectory_mode,effect_size,transition_id,precision_mean,recall_mean,selected_count_mean,bootstrap_sign_stability_mean,bootstrap_top_k_frequency_mean,eligible_replicates,computed_replicates,failed_replicates
orientation,0.25,0->1,1.0,0.26209879932372904,20.0,0.7878909118541038,0.030395136778115873,500,500,0
orientation,0.25,1->2,1.0,0.255101440333635,20.0,0.7930085106382989,0.030395136778115873,500,500,0
orientation,0.25,2->3,1.0,0.26041821887477534,20.0,0.7898525531914894,0.030395136778115873,500,500,0
orientation,0.5,0->1,1.0,0.133463350030547,20.0,0.816684893617021,0.030395136778115873,500,500,0
orientation,0.5,1->2,1.0,0.133627990817601,20.0,0.8178700303951367,0.030395136778115873,500,500,0
orientation,0.5,2->3,1.0,0.13444722260037476,20.0,0.8204967477203646,0.030395136778115873,500,500,0
orientation,0.75,0->1,1.0,0.09357391636804163,20.0,0.8386396960486321,0.030395136778115873,500,500,0
orientation,0.75,1->2,1.0,0.09284054847606316,20.0,0.8385703647416413,0.030395136778115873,500,500,0
orientation,0.75,2->3,1.0,0.09336516176021464,20.0,0.837651823708207,0.030395136778115873,500,500,0
orientation,1.0,0->1,1.0,0.07272061443463612,20.0,0.855972310030396,0.030395136778115873,500,500,0
orientation,1.0,1->2,1.0,0.07235929326536016,20.0,0.8589389665653497,0.030395136778115873,500,500,0
orientation,1.0,2->3,1.0,0.07294324977768973,20.0,0.8568455319148939,0.030395136778115873,500,500,0
