trajectory_mode,effect_size,statistic,cell_id,phase,from_shared_anchor,rejection_rate,monte_carlo_se,available_replicates,completed_replicates
magnitude,0.0,angle,power_primary-d74045b65506,power_primary,True,0.046,0.00936845771725528,500,500
magnitude,0.25,angle,power_primary-cfb3246b2bad,power_primary,False,0.146,0.015791390059142988,500,500
magnitude,0.5,angle,power_primary-a232c2e1578d,power_primary,False,0.242,0.019153902996517445,500,500
magnitude,0.75,angle,power_primary-3b941f099b80,power_primary,False,0.268,0.0198078772209442,500,500
magnitude,1.0,angle,power_primary-6459c57fb4f3,power_primary,False,0.276,0.01999119806314769,500,500
magnitude,0.0,delta,power_primary-d74045b65506,power_primary,True,0.036,0.008331146379700696,500,500
magnitude,0.25,delta,power_primary-cfb3246b2bad,power_primary,False,1.0,0.0,500,500
magnitude,0.5,delta,power_primary-a232c2e1578d,power_primary,False,1.0,0.0,500,500
magnitude,0.75,delta,power_primary-3b941f099b80,power_primary,False,1.0,0.0,500,500
magnitude,1.0,delta,power_primary-6459c57fb4f3,power_primary,False,1.0,0.0,500,500
magnitude,0.0,shape,power_primary-d74045b65506,power_primary,True,0.048,0.009559916317625379,500,500
magnitude,0.25,shape,power_primary-cfb3246b2bad,power_primary,False,0.354,0.021386163751360363,500,500
magnitude,0.5,shape,power_primary-a232c2e1578d,power_primary,False,0.62,0.021707141681944216,500,500
magnitude,0.75,shape,power_primary-3b941f099b80,power_primary,False,0.696,0.020571047615520217,500,500
magnitude,1.0,shape,power_primary-6459c57fb4f3,power_primary,False,0.742,0.019567115270269147,500,500
orientation,0.0,angle,power_primary-d74045b65506,power_primary,True,0.046,0.00936845771725528,500,500
orientation,0.25,angle,power_primary-c54af648857f,power_primary,False,0.842,0.016311713582576173,500,500
orientation,0.5,angle,power_primary-5e2c6d914647,power_primary,False,0.878,0.014636666287102402,500,500
orientation,0.75,angle,power_primary-1ed275cc35f0,power_primary,False,0.872,0.014940950438308804,500,500
orientation,1.0,angle,power_primary-6533cca3cff6,power_primary,False,0.84,0.01639512122553536,500,500
orientation,0.0,delta,power_primary-d74045b65506,power_primary,True,0.036,0.008331146379700696,500,500
orientation,0.25,delta,power_primary-c54af648857f,power_primary,False,0.804,0.01775297158224504,500,500
orientation,0.5,delta,power_primary-5e2c6d914647,power_primary,False,0.878,0.014636666287102402,500,500
orientation,0.75,delta,power_primary-1ed275cc35f0,power_primary,False,0.894,0.013766916866168691,500,500
orientation,1.0,delta,power_primary-6533cca3cff6,power_primary,False,0.912,0.012669333052690657,500,500
orientation,0.0,shape,power_primary-d74045b65506,power_primary,True,0.048,0.009559916317625379,500,500
orientation,0.25,shape,power_primary-c54af648857f,power_primary,False,1.0,0.0,500,500
orientation,0.5,shape,power_primary-5e2c6d914647,power_primary,False,1.0,0.0,500,500
orientation,0.75,shape,power_primary-1ed275cc35f0,power_primary,False,1.0,0.0,500,500
orientation,1.0,shape,power_primary-6533cca3cff6,power_primary,False,0.998,0.001997998998998749,500,500
shape,0.0,angle,power_primary-d74045b65506,power_primary,True,0.046,0.00936845771725528,500,500
shape,0.25,angle,power_primary-09a62cdd5554,power_primary,False,0.692,0.020646355610615643,500,500
shape,0.5,angle,power_primary-b940c368477e,power_primary,False,0.816,0.017328819925199756,500,500
shape,0.75,angle,power_primary-06f4766977e1,power_primary,False,0.8,0.017888543819998316,500,500
shape,1.0,angle,power_primary-3f2eccb585e5,power_primary,False,0.796,0.018021320706318945,500,500
shape,0.0,delta,power_primary-d74045b65506,power_primary,True,0.036,0.008331146379700696,500,500
shape,0.25,delta,power_primary-09a62cdd5554,power_primary,False,0.806,0.017684117167673367,500,500
shape,0.5,delta,power_primary-b940c368477e,power_primary,False,0.874,0.01484075469779081,500,500
shape,0.75,delta,power_primary-06f4766977e1,power_primary,False,0.934,0.01110351295761841,500,500
shape,1.0,delta,power_primary-3f2eccb585e5,power_primary,False,0.954,0.009368457717255283,500,500
shape,0.0,shape,power_primary-d74045b65506,power_primary,True,0.048,0.009559916317625379,500,500
shape,0.25,shape,power_primary-09a62cdd5554,power_primary,False,0.954,0.009368457717255283,500,500
shape,0.5,shape,power_primary-b940c368477e,power_primary,False,0.988,0.004869496893930627,500,500
shape,0.75,shape,power_primary-06f4766977e1,power_primary,False,0.994,0.0034536936748935927,500,500
shape,1.0,shape,power_primary-3f2eccb585e5,power_primary,False,0.996,0.002822764602300377,500,500
translation,0.0,angle,power_primary-d74045b65506,power_primary,True,0.046,0.00936845771725528,500,500
translation,0.25,angle,power_primary-ac245a5f3d63,power_primary,False,0.038,0.00855055553750749,500,500
translation,0.5,angle,power_primary-a3dabd0a79ce,power_primary,False,0.028,0.007377804551490911,500,500
translation,0.75,angle,power_primary-8d1d54882ad0,power_primary,False,0.05,0.009746794344808964,500,500
translation,1.0,angle,power_primary-94ae5b6e309e,power_primary,False,0.042,0.008970618707759236,500,500
translation,0.0,delta,power_primary-d74045b65506,power_primary,True,0.036,0.008331146379700696,500,500
translation,0.25,delta,power_primary-ac245a5f3d63,power_primary,False,0.054,0.010107818755794942,500,500
translation,0.5,delta,power_primary-a3dabd0a79ce,power_primary,False,0.056,0.010282412168358162,500,500
translation,0.75,delta,power_primary-8d1d54882ad0,power_primary,False,0.04,0.008763560920082658,500,500
translation,1.0,delta,power_primary-94ae5b6e309e,power_primary,False,0.042,0.008970618707759236,500,500
translation,0.0,shape,power_primary-d74045b65506,power_primary,True,0.048,0.009559916317625379,500,500
translation,0.25,shape,power_primary-ac245a5f3d63,power_primary,False,0.046,0.00936845771725528,500,500
translation,0.5,shape,power_primary-a3dabd0a79ce,power_primary,False,0.046,0.00936845771725528,500,500
translation,0.75,shape,power_primary-8d1d54882ad0,power_primary,False,0.044,0.009172131704244111,500,500
translation,1.0,shape,power_primary-94ae5b6e309e,power_primary,False,0.03,0.00762889244910426,500,500
