trajectory_mode,statistic,effect_size,cell_id,phase,rejection_rate,monte_carlo_se,available_replicates,completed_replicates,censored_fraction,duplicate_construction
magnitude,angle,0.25,power_primary-cfb3246b2bad,power_primary,0.146,0.015791390059142988,500,500,,False
magnitude,angle,0.5,power_primary-a232c2e1578d,power_primary,0.242,0.019153902996517445,500,500,,False
magnitude,angle,0.75,power_primary-3b941f099b80,power_primary,0.268,0.0198078772209442,500,500,,False
magnitude,angle,1.0,power_primary-6459c57fb4f3,power_primary,0.276,0.01999119806314769,500,500,,False
magnitude,delta,0.25,power_primary-cfb3246b2bad,power_primary,1.0,0.0,500,500,,False
magnitude,delta,0.5,power_primary-a232c2e1578d,power_primary,1.0,0.0,500,500,,False
magnitude,delta,0.75,power_primary-3b941f099b80,power_primary,1.0,0.0,500,500,,False
magnitude,delta,1.0,power_primary-6459c57fb4f3,power_primary,1.0,0.0,500,500,,False
magnitude,shape,0.25,power_primary-cfb3246b2bad,power_primary,0.354,0.021386163751360363,500,500,,False
magnitude,shape,0.5,power_primary-a232c2e1578d,power_primary,0.62,0.021707141681944216,500,500,,False
magnitude,shape,0.75,power_primary-3b941f099b80,power_primary,0.696,0.020571047615520217,500,500,,False
magnitude,shape,1.0,power_primary-6459c57fb4f3,power_primary,0.742,0.019567115270269147,500,500,,False
none,angle,0.0,power_primary-d74045b65506,power_primary,0.046,0.00936845771725528,500,500,,False
none,delta,0.0,power_primary-d74045b65506,power_primary,0.036,0.008331146379700696,500,500,,False
none,shape,0.0,power_primary-d74045b65506,power_primary,0.048,0.009559916317625379,500,500,,False
orientation,angle,0.25,power_primary-c54af648857f,power_primary,0.842,0.016311713582576173,500,500,0.0,False
orientation,angle,0.5,power_primary-5e2c6d914647,power_primary,0.878,0.014636666287102402,500,500,0.0,False
orientation,angle,0.75,power_primary-1ed275cc35f0,power_primary,0.872,0.014940950438308804,500,500,0.0,False
orientation,angle,1.0,power_primary-6533cca3cff6,power_primary,0.84,0.01639512122553536,500,500,0.0,False
orientation,delta,0.25,power_primary-c54af648857f,power_primary,0.804,0.01775297158224504,500,500,0.0,False
orientation,delta,0.5,power_primary-5e2c6d914647,power_primary,0.878,0.014636666287102402,500,500,0.0,False
orientation,delta,0.75,power_primary-1ed275cc35f0,power_primary,0.894,0.013766916866168691,500,500,0.0,False
orientation,delta,1.0,power_primary-6533cca3cff6,power_primary,0.912,0.012669333052690657,500,500,0.0,False
orientation,shape,0.25,power_primary-c54af648857f,power_primary,1.0,0.0,500,500,0.0,False
orientation,shape,0.5,power_primary-5e2c6d914647,power_primary,1.0,0.0,500,500,0.0,False
orientation,shape,0.75,power_primary-1ed275cc35f0,power_primary,1.0,0.0,500,500,0.0,False
orientation,shape,1.0,power_primary-6533cca3cff6,power_primary,0.998,0.001997998998998749,500,500,0.0,False
shape,angle,0.25,power_primary-09a62cdd5554,power_primary,0.692,0.020646355610615643,500,500,0.0,False
shape,angle,0.5,power_primary-b940c368477e,power_primary,0.816,0.017328819925199756,500,500,0.0,False
shape,angle,0.75,power_primary-06f4766977e1,power_primary,0.8,0.017888543819998316,500,500,0.0,False
shape,angle,1.0,power_primary-3f2eccb585e5,power_primary,0.796,0.018021320706318945,500,500,0.0,False
shape,delta,0.25,power_primary-09a62cdd5554,power_primary,0.806,0.017684117167673367,500,500,0.0,False
shape,delta,0.5,power_primary-b940c368477e,power_primary,0.874,0.01484075469779081,500,500,0.0,False
shape,delta,0.75,power_primary-06f4766977e1,power_primary,0.934,0.01110351295761841,500,500,0.0,False
shape,delta,1.0,power_primary-3f2eccb585e5,power_primary,0.954,0.009368457717255283,500,500,0.0,False
shape,shape,0.25,power_primary-09a62cdd5554,power_primary,0.954,0.009368457717255283,500,500,0.0,False
shape,shape,0.5,power_primary-b940c368477e,power_primary,0.988,0.004869496893930627,500,500,0.0,False
shape,shape,0.75,power_primary-06f4766977e1,power_primary,0.994,0.0034536936748935927,500,500,0.0,False
