rule,kind,trajectory_mode,statistic,cell_id,effect_size,met,detail,obs_cell_id,obs_phase,obs_trajectory_mode,obs_statistic,obs_effect_size,obs_alpha,obs_se_tolerance,obs_rejection_rate,obs_monte_carlo_se,obs_available_replicates,obs_bound,obs_exceedance,obs_exceedance_in_se,obs_min_power_at_top,obs_monotonicity_se_tolerance,obs_points,obs_top_effect_size,obs_top_rate,obs_reversals,obs_records,obs_completed,obs_failed,obs_expected_units,obs_pls_records,obs_missing_integration_metadata,obs_missing_realized_geometry,obs_attribution_eligible,obs_attribution_incomplete
"mandatory_power[magnitude,delta]",power,magnitude,delta,,1.0,True,top_rate=1.000 >= floor=0.800; tolerated_monotone=True,,,magnitude,delta,,,,,,,,,,0.8,2.0,"[{'effect_size': 0.0, 'rate': 0.036, 'se': 0.008331146379700696, 'from_shared_anchor': True}, {'effect_size': 0.25, 'rate': 1.0, 'se': 0.0, 'from_shared_anchor': False}, {'effect_size': 0.5, 'rate': 1.0, 'se': 0.0, 'from_shared_anchor': False}, {'effect_size': 0.75, 'rate': 1.0, 'se': 0.0, 'from_shared_anchor': False}, {'effect_size': 1.0, 'rate': 1.0, 'se': 0.0, 'from_shared_anchor': False}]",1.0,1.0,[],,,,,,,,,
"mandatory_power[orientation,angle]",power,orientation,angle,,1.0,True,top_rate=0.840 >= floor=0.800; tolerated_monotone=True,,,orientation,angle,,,,,,,,,,0.8,2.0,"[{'effect_size': 0.0, 'rate': 0.046, 'se': 0.00936845771725528, 'from_shared_anchor': True}, {'effect_size': 0.25, 'rate': 0.842, 'se': 0.016311713582576173, 'from_shared_anchor': False}, {'effect_size': 0.5, 'rate': 0.878, 'se': 0.014636666287102402, 'from_shared_anchor': False}, {'effect_size': 0.75, 'rate': 0.872, 'se': 0.014940950438308804, 'from_shared_anchor': False}, {'effect_size': 1.0, 'rate': 0.84, 'se': 0.01639512122553536, 'from_shared_anchor': False}]",1.0,0.84,[],,,,,,,,,
"mandatory_power[shape,shape]",power,shape,shape,,1.0,True,top_rate=0.996 >= floor=0.800; tolerated_monotone=True,,,shape,shape,,,,,,,,,,0.8,2.0,"[{'effect_size': 0.0, 'rate': 0.048, 'se': 0.009559916317625379, 'from_shared_anchor': True}, {'effect_size': 0.25, 'rate': 0.954, 'se': 0.009368457717255283, 'from_shared_anchor': False}, {'effect_size': 0.5, 'rate': 0.988, 'se': 0.004869496893930627, 'from_shared_anchor': False}, {'effect_size': 0.75, 'rate': 0.994, 'se': 0.0034536936748935927, 'from_shared_anchor': False}, {'effect_size': 1.0, 'rate': 0.996, 'se': 0.002822764602300377, 'from_shared_anchor': False}]",1.0,0.996,[],,,,,,,,,
"mandatory_control[magnitude,angle]",control,magnitude,angle,power_primary-6459c57fb4f3,1.0,False,"rate=0.2760 > bound=0.0695 (alpha=0.05 + 2·SE, n=500)",power_primary-6459c57fb4f3,,magnitude,angle,1.0,0.05,2.0,0.276,0.01999119806314769,500.0,0.06949358868961793,0.2065064113103821,10.329866707241601,,,,,,,,,,,,,,,
"mandatory_control[magnitude,shape]",control,magnitude,shape,power_primary-6459c57fb4f3,1.0,False,"rate=0.7420 > bound=0.0695 (alpha=0.05 + 2·SE, n=500)",power_primary-6459c57fb4f3,,magnitude,shape,1.0,0.05,2.0,0.742,0.019567115270269147,500.0,0.06949358868961793,0.672506411310382,34.36921600457928,,,,,,,,,,,,,,,
"descriptive[orientation,delta]",descriptive,orientation,delta,,,,"Descriptive only: the constructions are known to be mixed, so this pair is reported against realized geometry rather than gated.",,,,,,,,,,,,,,,,"[{'effect_size': 0.0, 'rate': 0.036, 'se': 0.008331146379700696}, {'effect_size': 0.25, 'rate': 0.804, 'se': 0.01775297158224504}, {'effect_size': 0.5, 'rate': 0.878, 'se': 0.014636666287102402}, {'effect_size': 0.75, 'rate': 0.894, 'se': 0.013766916866168691}, {'effect_size': 1.0, 'rate': 0.912, 'se': 0.012669333052690657}]",,,,,,,,,,,,
"descriptive[orientation,shape]",descriptive,orientation,shape,,,,"Descriptive only: the constructions are known to be mixed, so this pair is reported against realized geometry rather than gated.",,,,,,,,,,,,,,,,"[{'effect_size': 0.0, 'rate': 0.048, 'se': 0.009559916317625379}, {'effect_size': 0.25, 'rate': 1.0, 'se': 0.0}, {'effect_size': 0.5, 'rate': 1.0, 'se': 0.0}, {'effect_size': 0.75, 'rate': 1.0, 'se': 0.0}, {'effect_size': 1.0, 'rate': 0.998, 'se': 0.001997998998998749}]",,,,,,,,,,,,
"descriptive[shape,delta]",descriptive,shape,delta,,,,"Descriptive only: the constructions are known to be mixed, so this pair is reported against realized geometry rather than gated.",,,,,,,,,,,,,,,,"[{'effect_size': 0.0, 'rate': 0.036, 'se': 0.008331146379700696}, {'effect_size': 0.25, 'rate': 0.806, 'se': 0.017684117167673367}, {'effect_size': 0.5, 'rate': 0.874, 'se': 0.01484075469779081}, {'effect_size': 0.75, 'rate': 0.934, 'se': 0.01110351295761841}, {'effect_size': 1.0, 'rate': 0.954, 'se': 0.009368457717255283}]",,,,,,,,,,,,
"descriptive[shape,angle]",descriptive,shape,angle,,,,"Descriptive only: the constructions are known to be mixed, so this pair is reported against realized geometry rather than gated.",,,,,,,,,,,,,,,,"[{'effect_size': 0.0, 'rate': 0.046, 'se': 0.00936845771725528}, {'effect_size': 0.25, 'rate': 0.692, 'se': 0.020646355610615643}, {'effect_size': 0.5, 'rate': 0.816, 'se': 0.017328819925199756}, {'effect_size': 0.75, 'rate': 0.8, 'se': 0.017888543819998316}, {'effect_size': 1.0, 'rate': 0.796, 'se': 0.018021320706318945}]",,,,,,,,,,,,
diagnostic_completeness,completeness,*,*,,,True,All expected records and mandatory diagnostics present,,,,,,,,,,,,,,,,,,,,9500.0,9500.0,0.0,9500.0,9500.0,0.0,0.0,2000.0,0.0
