target_name,target_kind,met,rationale,obs_cell_id,obs_phase,obs_trajectory_mode,obs_statistic,obs_alpha_target,obs_se_tolerance,obs_rejection_rate,obs_monte_carlo_se,obs_available_replicates,obs_deviation,obs_bound
"type_i_control[type_i_baseline-08d5fad9e2b2,delta]",type_i_control,True,|rate - alpha| = 0.0300 <= 2.00·SE (0.0543),type_i_baseline-08d5fad9e2b2,type_i_baseline,translation,delta,0.05,2.0,0.08,0.027129319932501072,100,0.03,0.054258639865002144
"type_i_control[type_i_baseline-08d5fad9e2b2,angle]",type_i_control,True,|rate - alpha| = 0.0200 <= 2.00·SE (0.0510),type_i_baseline-08d5fad9e2b2,type_i_baseline,translation,angle,0.05,2.0,0.07,0.02551470164434615,100,0.020000000000000004,0.0510294032886923
"type_i_control[type_i_baseline-08d5fad9e2b2,shape]",type_i_control,True,|rate - alpha| = 0.0400 <= 2.00·SE (0.0572),type_i_baseline-08d5fad9e2b2,type_i_baseline,translation,shape,0.05,2.0,0.09,0.02861817604250837,100,0.039999999999999994,0.05723635208501674
"type_i_control[type_i_baseline-253f1c4ad4c0,delta]",type_i_control,True,|rate - alpha| = 0.0100 <= 2.00·SE (0.0475),type_i_baseline-253f1c4ad4c0,type_i_baseline,,delta,0.05,2.0,0.06,0.023748684174075833,100,0.009999999999999995,0.047497368348151665
"type_i_control[type_i_baseline-253f1c4ad4c0,angle]",type_i_control,True,|rate - alpha| = 0.0000 <= 2.00·SE (0.0436),type_i_baseline-253f1c4ad4c0,type_i_baseline,,angle,0.05,2.0,0.05,0.021794494717703367,100,0.0,0.04358898943540673
"type_i_control[type_i_baseline-253f1c4ad4c0,shape]",type_i_control,True,|rate - alpha| = 0.0200 <= 2.00·SE (0.0510),type_i_baseline-253f1c4ad4c0,type_i_baseline,,shape,0.05,2.0,0.07,0.02551470164434615,100,0.020000000000000004,0.0510294032886923
