cell_id,phase,trajectory_mode,varied_axis,varied_value,completed_replicates,delta_rate,delta_se,delta_available,angle_rate,angle_se,angle_available,shape_rate,shape_se,shape_available,combined_rate,combined_se,combined_available
type_i_baseline-253f1c4ad4c0,type_i_baseline,none,,,100,0.06,0.023748684174075833,100,0.05,0.021794494717703367,100,0.07,0.02551470164434615,100,0.14,0.03469870314579494,100
type_i_baseline-08d5fad9e2b2,type_i_baseline,translation,,,100,0.08,0.027129319932501072,100,0.07,0.02551470164434615,100,0.09,0.02861817604250837,100,0.17,0.0375632799419859,100
