evaluation.integration_params.forced_components,phase,is_baseline,trajectory_mode,effect_size,statistic,n_cells,n_replicates,n_available,n_rejected,rejection_rate,monte_carlo_se,n_eigengap_available,mean_eigengap,q33_eigengap,median_eigengap,q67_eigengap,n_angle_null_available,median_angle_null_q95,iqr_angle_null_q95,sd_angle_null_q95,n_selected_lv_available,median_selected_lv,min_selected_lv,max_selected_lv,component_selection
3.0,power_design,False,shape,0.5,shape,1,100,100,97,0.97,0.017058722109231986,100,0.053711074922671305,0.03814641323176465,0.04780958039613101,0.0629338013792815,100,6.057217619618443,7.102371325131687,32.40277450011168,100,3.0,3,3,forced
3.0,power_design,False,shape,1.0,delta,1,100,100,89,0.89,0.031288975694324025,100,0.06282659346253952,0.044581720460592666,0.057489063109918664,0.07348597043605387,100,5.6586836138233405,4.646542458487293,31.05104958620189,100,3.0,3,3,forced
3.0,power_design,False,shape,1.0,angle,1,100,100,80,0.8,0.04,100,0.06282659346253952,0.044581720460592666,0.057489063109918664,0.07348597043605387,100,5.6586836138233405,4.646542458487293,31.05104958620189,100,3.0,3,3,forced
3.0,power_design,False,shape,1.0,shape,1,100,100,100,1.0,0.0,100,0.06282659346253952,0.044581720460592666,0.057489063109918664,0.07348597043605387,100,5.6586836138233405,4.646542458487293,31.05104958620189,100,3.0,3,3,forced
3.0,power_design,False,translation,0.25,delta,1,100,100,1,0.01,0.0099498743710662,100,0.05067506554527064,0.03700405874641871,0.048939600835819386,0.05661171682210048,100,5.46108958958597,6.570792755614348,39.98924274223108,100,3.0,3,3,forced
3.0,power_design,False,translation,0.25,angle,1,100,100,9,0.09,0.02861817604250837,100,0.05067506554527064,0.03700405874641871,0.048939600835819386,0.05661171682210048,100,5.46108958958597,6.570792755614348,39.98924274223108,100,3.0,3,3,forced
3.0,power_design,False,translation,0.25,shape,1,100,100,8,0.08,0.027129319932501072,100,0.05067506554527064,0.03700405874641871,0.048939600835819386,0.05661171682210048,100,5.46108958958597,6.570792755614348,39.98924274223108,100,3.0,3,3,forced
3.0,power_design,False,translation,0.5,delta,1,100,100,3,0.03,0.01705872210923198,100,0.05070903808790686,0.03589635628941246,0.04824823626775443,0.058499582572796416,100,6.273836748107707,5.153855165462363,42.41788970223616,100,3.0,3,3,forced
3.0,power_design,False,translation,0.5,angle,1,100,100,5,0.05,0.021794494717703367,100,0.05070903808790686,0.03589635628941246,0.04824823626775443,0.058499582572796416,100,6.273836748107707,5.153855165462363,42.41788970223616,100,3.0,3,3,forced
3.0,power_design,False,translation,0.5,shape,1,100,100,1,0.01,0.0099498743710662,100,0.05070903808790686,0.03589635628941246,0.04824823626775443,0.058499582572796416,100,6.273836748107707,5.153855165462363,42.41788970223616,100,3.0,3,3,forced
3.0,power_design,False,translation,1.0,delta,1,100,100,6,0.06,0.023748684174075833,100,0.05079544423899847,0.036763422846716964,0.04931517829345686,0.0590544376394872,100,5.520179065643721,5.508904418994167,39.42455303623443,100,3.0,3,3,forced
3.0,power_design,False,translation,1.0,angle,1,100,100,2,0.02,0.014,100,0.05079544423899847,0.036763422846716964,0.04931517829345686,0.0590544376394872,100,5.520179065643721,5.508904418994167,39.42455303623443,100,3.0,3,3,forced
3.0,power_design,False,translation,1.0,shape,1,100,100,4,0.04,0.019595917942265423,100,0.05079544423899847,0.036763422846716964,0.04931517829345686,0.0590544376394872,100,5.520179065643721,5.508904418994167,39.42455303623443,100,3.0,3,3,forced
4.0,power_design,False,magnitude,0.25,delta,1,100,100,100,1.0,0.0,100,0.048877693766853324,0.03444973224318448,0.04538204309369617,0.054687161614169644,100,10.54938779111497,5.456812612050191,49.0940346181088,100,4.0,4,4,forced
4.0,power_design,False,magnitude,0.25,angle,1,100,100,5,0.05,0.021794494717703367,100,0.048877693766853324,0.03444973224318448,0.04538204309369617,0.054687161614169644,100,10.54938779111497,5.456812612050191,49.0940346181088,100,4.0,4,4,forced
4.0,power_design,False,magnitude,0.25,shape,1,100,100,15,0.15,0.035707142142714254,100,0.048877693766853324,0.03444973224318448,0.04538204309369617,0.054687161614169644,100,10.54938779111497,5.456812612050191,49.0940346181088,100,4.0,4,4,forced
4.0,power_design,False,magnitude,0.5,delta,1,100,100,100,1.0,0.0,100,0.04871861164209223,0.034226198465288515,0.04433840780068901,0.05522130393004432,100,11.261178145504552,6.910500740610974,52.870162305391176,100,4.0,4,4,forced
4.0,power_design,False,magnitude,0.5,angle,1,100,100,13,0.13,0.03363034344160047,100,0.04871861164209223,0.034226198465288515,0.04433840780068901,0.05522130393004432,100,11.261178145504552,6.910500740610974,52.870162305391176,100,4.0,4,4,forced
