cell_id,phase,trajectory_mode,effect_size,statistic,null_target,n_replicates,correlation,correlation_ci_low,correlation_ci_high,slope,mean_observed,mean_null_target
power_primary-b454e41ba106,power_primary,magnitude,1.0,delta,mean,100,0.6035941140880448,0.46194242070454644,0.7152182326875128,0.016602404625053933,26.76409322311047,0.9111895315120431
power_primary-b454e41ba106,power_primary,magnitude,1.0,delta,sd,100,0.36026621274072523,0.17632537425714095,0.5198950920886206,0.007064998085288756,26.76409322311047,0.6695180020686837
power_primary-b454e41ba106,power_primary,magnitude,1.0,delta,q95,100,0.4281801063153066,0.25304354007434343,0.576143235208019,0.02978423724131301,26.76409322311047,2.192498655849213
power_primary-b454e41ba106,power_primary,magnitude,1.0,angle,mean,100,0.5683106882632081,0.4186218714667106,0.6879368161706694,0.3766079871853978,21.84027676732239,27.969860185602396
power_primary-b454e41ba106,power_primary,magnitude,1.0,angle,sd,100,0.5131119261703972,0.3521889925009312,0.6445676311600012,0.32887011788172144,21.84027676732239,25.56600260248714
power_primary-b454e41ba106,power_primary,magnitude,1.0,angle,q95,100,0.4732281220062968,0.3051763192749768,0.6126958105935151,0.8739868894271896,21.84027676732239,76.06622315302154
power_primary-b454e41ba106,power_primary,magnitude,1.0,shape,mean,100,0.05966906342003172,-0.13837077148202978,0.2531205862850005,0.009691608015944717,0.023194150356257957,0.024858303381764882
power_primary-b454e41ba106,power_primary,magnitude,1.0,shape,sd,100,-0.11569968667326196,-0.3051823777518519,0.08259545523872895,-0.011870879729392696,0.023194150356257957,0.008196145877194357
power_primary-b454e41ba106,power_primary,magnitude,1.0,shape,q95,100,-0.0008966666251411695,-0.19728003903685787,0.19555589266789422,-0.0002948166028346551,0.023194150356257957,0.03900917092819934
type_i_baseline-5c0f9fe8a4ad,type_i_baseline,none,,delta,mean,100,0.4429381647616892,0.2700113240375862,0.5881836677726997,0.14646993282496296,0.39102034030133476,0.3620470394616239
type_i_baseline-5c0f9fe8a4ad,type_i_baseline,none,,delta,sd,100,0.4061994440705569,0.22796988799137824,0.5580903612320502,0.0956266466353637,0.39102034030133476,0.27143235175233116
type_i_baseline-5c0f9fe8a4ad,type_i_baseline,none,,delta,q95,100,0.43373221526118994,0.259414349295461,0.5806804975346341,0.33944537466388863,0.39102034030133476,0.8715733466250525
type_i_baseline-5c0f9fe8a4ad,type_i_baseline,none,,angle,mean,100,0.7835225824953911,0.6938932731464335,0.8492437581206423,0.41669426200179344,17.515690905423668,15.282147529779376
type_i_baseline-5c0f9fe8a4ad,type_i_baseline,none,,angle,sd,100,0.672022930615969,0.5479302207841013,0.7671757794115507,0.40969058860996843,17.515690905423668,15.82444771742487
type_i_baseline-5c0f9fe8a4ad,type_i_baseline,none,,angle,q95,100,0.6340265479184952,0.49985788225350414,0.7384787327396811,0.9305182068356054,17.515690905423668,40.456870243724346
type_i_baseline-5c0f9fe8a4ad,type_i_baseline,none,,shape,mean,100,0.5934048951296296,0.449362427522266,0.7073746287103795,0.2746885231057505,0.010131068864804747,0.01018823789458307
type_i_baseline-5c0f9fe8a4ad,type_i_baseline,none,,shape,sd,100,0.545502336309441,0.39097593847500595,0.6701194699949805,0.10749735412870323,0.010131068864804747,0.0036135156855281406
type_i_baseline-5c0f9fe8a4ad,type_i_baseline,none,,shape,q95,100,0.5598897101279177,0.40838242132100594,0.6813752948040032,0.44927938708179066,0.010131068864804747,0.016495488875310965
power_primary-e233c34ae1ca,power_primary,orientation,1.0,delta,mean,100,0.14784308154514478,-0.05002779630494649,0.33454628952340787,0.006777862742679356,2.1860720078010356,0.42715759523549623
power_primary-e233c34ae1ca,power_primary,orientation,1.0,delta,sd,100,0.14060513438173874,-0.05739817131761459,0.3279656936821617,0.0049318642182698096,2.1860720078010356,0.32167472573251543
power_primary-e233c34ae1ca,power_primary,orientation,1.0,delta,q95,100,0.157626414658063,-0.04003109303209144,0.3434122541723149,0.017869672038969883,2.1860720078010356,1.0330314989771734
power_primary-e233c34ae1ca,power_primary,orientation,1.0,angle,mean,100,0.5851880870074797,0.43925908627677224,0.7010288655214547,0.3055966083933921,51.05962598588358,16.148965009088133
power_primary-e233c34ae1ca,power_primary,orientation,1.0,angle,sd,100,0.5628144174999975,0.41193438956197076,0.6836564057148604,0.3487079725501829,51.05962598588358,16.34324665147252
power_primary-e233c34ae1ca,power_primary,orientation,1.0,angle,q95,100,0.5259300770047886,0.3674726956660154,0.6547147259058939,0.8113311359982613,51.05962598588358,43.89936767797293
power_primary-e233c34ae1ca,power_primary,orientation,1.0,shape,mean,100,0.34860980098638483,0.16337876325636694,0.5100997174225722,0.03550376503556901,0.06994173826713161,0.014473950856119395
power_primary-e233c34ae1ca,power_primary,orientation,1.0,shape,sd,100,0.31120927971905193,0.12226486358377231,0.4783850848988357,0.01298571107157105,0.06994173826713161,0.005045415595038707
power_primary-e233c34ae1ca,power_primary,orientation,1.0,shape,q95,100,0.3220199734667079,0.13408265863318597,0.4875972908868541,0.05784138454259905,0.06994173826713161,0.023374805591626684
power_primary-ebe229f72db1,power_primary,translation,1.0,delta,mean,100,0.19331680877704766,-0.0032237163942357315,0.37547769167871536,0.05776677657157601,0.3766387658542618,0.34352548673574046
power_primary-ebe229f72db1,power_primary,translation,1.0,delta,sd,100,0.18639826107684188,-0.010400644972997227,0.36929572529665583,0.04197122563989772,0.3766387658542618,0.26019486087867244
power_primary-ebe229f72db1,power_primary,translation,1.0,delta,q95,100,0.20784343457362478,0.01191159856663644,0.38840521383612253,0.15158046451906346,0.3766387658542618,0.839157647643716
power_primary-ebe229f72db1,power_primary,translation,1.0,angle,mean,100,0.561239700350064,0.41002137349091217,0.6824285062710732,0.24293686482916957,11.947673824472913,10.322633837256937
power_primary-ebe229f72db1,power_primary,translation,1.0,angle,sd,100,0.5675248881964392,0.4176647687334497,0.6873253566825039,0.34500746690903655,11.947673824472913,11.242265881407963
power_primary-ebe229f72db1,power_primary,translation,1.0,angle,q95,100,0.5617746931067727,0.41067115037863794,0.6828457482706806,0.9603668195125251,11.947673824472913,33.03154571255284
power_primary-ebe229f72db1,power_primary,translation,1.0,shape,mean,100,0.4814866510226599,0.3148441999379242,0.6193327932100244,0.19045280702004688,0.009913169103602942,0.009563842517507639
power_primary-ebe229f72db1,power_primary,translation,1.0,shape,sd,100,0.485782865029581,0.3198872909417804,0.6227776812439967,0.08409333549024565,0.009913169103602942,0.0033665281586401207
power_primary-ebe229f72db1,power_primary,translation,1.0,shape,q95,100,0.48685097344591616,0.32114254582782764,0.6236333125868841,0.3484942627426273,0.009913169103602942,0.015485557442938239
type_i_baseline-82750f50d4bc,type_i_baseline,translation,1.0,delta,mean,100,0.2777621845983772,0.08603809232928047,0.4496485879920751,0.08363429777776059,0.3672961906023716,0.3510566313940646
type_i_baseline-82750f50d4bc,type_i_baseline,translation,1.0,delta,sd,100,0.30104850954966483,0.11120616610951278,0.4696930294815199,0.06852168027616225,0.3672961906023716,0.2656846428578833
type_i_baseline-82750f50d4bc,type_i_baseline,translation,1.0,delta,q95,100,0.3259435115281498,0.13838496701957623,0.490931594039186,0.2370383307096172,0.3672961906023716,0.8582552407732312
