rule,kind,trajectory_mode,statistic,cell_id,effect_size,met,detail,obs_cell_id,obs_phase,obs_trajectory_mode,obs_statistic,obs_effect_size,obs_alpha,obs_se_tolerance,obs_rejection_rate,obs_monte_carlo_se,obs_available_replicates,obs_bound,obs_exceedance,obs_exceedance_in_se,obs_min_power_at_top,obs_monotonicity_se_tolerance,obs_points,obs_top_effect_size,obs_top_rate,obs_reversals,obs_records,obs_completed,obs_failed,obs_expected_units,obs_pls_records,obs_missing_integration_metadata,obs_missing_realized_geometry,obs_attribution_eligible,obs_attribution_incomplete
"type_i_inflation[power_primary-ebe229f72db1,angle]",type_i_inflation,translation,angle,power_primary-ebe229f72db1,1.0,True,"rate=0.0500 <= bound=0.0936 (alpha=0.05 + 2·SE, n=100)",power_primary-ebe229f72db1,power_primary,translation,angle,1.0,0.05,2.0,0.05,0.021794494717703367,100.0,0.09358898943540674,-0.04358898943540673,-2.0,,,,,,,,,,,,,,,
"type_i_inflation[power_primary-ebe229f72db1,shape]",type_i_inflation,translation,shape,power_primary-ebe229f72db1,1.0,True,"rate=0.0400 <= bound=0.0936 (alpha=0.05 + 2·SE, n=100)",power_primary-ebe229f72db1,power_primary,translation,shape,1.0,0.05,2.0,0.04,0.019595917942265423,100.0,0.09358898943540674,-0.053588989435406735,-2.734701665586352,,,,,,,,,,,,,,,
"type_i_inflation[type_i_baseline-5c0f9fe8a4ad,delta]",type_i_inflation,none,delta,type_i_baseline-5c0f9fe8a4ad,,True,"rate=0.0400 <= bound=0.0936 (alpha=0.05 + 2·SE, n=100)",type_i_baseline-5c0f9fe8a4ad,type_i_baseline,none,delta,,0.05,2.0,0.04,0.019595917942265423,100.0,0.09358898943540674,-0.053588989435406735,-2.734701665586352,,,,,,,,,,,,,,,
"type_i_inflation[type_i_baseline-5c0f9fe8a4ad,angle]",type_i_inflation,none,angle,type_i_baseline-5c0f9fe8a4ad,,True,"rate=0.0400 <= bound=0.0936 (alpha=0.05 + 2·SE, n=100)",type_i_baseline-5c0f9fe8a4ad,type_i_baseline,none,angle,,0.05,2.0,0.04,0.019595917942265423,100.0,0.09358898943540674,-0.053588989435406735,-2.734701665586352,,,,,,,,,,,,,,,
"type_i_inflation[type_i_baseline-5c0f9fe8a4ad,shape]",type_i_inflation,none,shape,type_i_baseline-5c0f9fe8a4ad,,True,"rate=0.0100 <= bound=0.0936 (alpha=0.05 + 2·SE, n=100)",type_i_baseline-5c0f9fe8a4ad,type_i_baseline,none,shape,,0.05,2.0,0.01,0.0099498743710662,100.0,0.09358898943540674,-0.08358898943540674,-8.401009532188654,,,,,,,,,,,,,,,
"type_i_inflation[type_i_baseline-82750f50d4bc,delta]",type_i_inflation,translation,delta,type_i_baseline-82750f50d4bc,1.0,True,"rate=0.0600 <= bound=0.0936 (alpha=0.05 + 2·SE, n=100)",type_i_baseline-82750f50d4bc,type_i_baseline,translation,delta,1.0,0.05,2.0,0.06,0.023748684174075833,100.0,0.09358898943540674,-0.03358898943540674,-1.4143515989855397,,,,,,,,,,,,,,,
"type_i_inflation[type_i_baseline-82750f50d4bc,angle]",type_i_inflation,translation,angle,type_i_baseline-82750f50d4bc,1.0,True,"rate=0.0400 <= bound=0.0936 (alpha=0.05 + 2·SE, n=100)",type_i_baseline-82750f50d4bc,type_i_baseline,translation,angle,1.0,0.05,2.0,0.04,0.019595917942265423,100.0,0.09358898943540674,-0.053588989435406735,-2.734701665586352,,,,,,,,,,,,,,,
"type_i_inflation[type_i_baseline-82750f50d4bc,shape]",type_i_inflation,translation,shape,type_i_baseline-82750f50d4bc,1.0,True,"rate=0.0900 <= bound=0.0936 (alpha=0.05 + 2·SE, n=100)",type_i_baseline-82750f50d4bc,type_i_baseline,translation,shape,1.0,0.05,2.0,0.09,0.02861817604250837,100.0,0.09358898943540674,-0.003588989435406739,-0.1254094401430681,,,,,,,,,,,,,,,
"mandatory_power[magnitude,delta]",power,magnitude,delta,,1.0,True,top_rate=1.000 >= floor=0.800; tolerated_monotone=True,,,magnitude,delta,,,,,,,,,,0.8,2.0,"[{'effect_size': 0.0, 'rate': 0.08, 'se': 0.027129319932501072, 'from_shared_anchor': True}, {'effect_size': 0.25, 'rate': 1.0, 'se': 0.0, 'from_shared_anchor': False}, {'effect_size': 0.5, 'rate': 1.0, 'se': 0.0, 'from_shared_anchor': False}, {'effect_size': 0.75, 'rate': 1.0, 'se': 0.0, 'from_shared_anchor': False}, {'effect_size': 1.0, 'rate': 1.0, 'se': 0.0, 'from_shared_anchor': False}]",1.0,1.0,[],,,,,,,,,
"mandatory_power[orientation,angle]",power,orientation,angle,,1.0,False,top_rate=0.650 < floor=0.800; tolerated_monotone=True,,,orientation,angle,,,,,,,,,,0.8,2.0,"[{'effect_size': 0.0, 'rate': 0.04, 'se': 0.019595917942265423, 'from_shared_anchor': True}, {'effect_size': 0.25, 'rate': 0.59, 'se': 0.04918333050943175, 'from_shared_anchor': False}, {'effect_size': 0.5, 'rate': 0.59, 'se': 0.04918333050943175, 'from_shared_anchor': False}, {'effect_size': 0.75, 'rate': 0.64, 'se': 0.048, 'from_shared_anchor': False}, {'effect_size': 1.0, 'rate': 0.65, 'se': 0.047696960070847276, 'from_shared_anchor': False}]",1.0,0.65,[],,,,,,,,,
"mandatory_power[shape,shape]",power,shape,shape,,1.0,True,top_rate=1.000 >= floor=0.800; tolerated_monotone=True,,,shape,shape,,,,,,,,,,0.8,2.0,"[{'effect_size': 0.0, 'rate': 0.03, 'se': 0.01705872210923198, 'from_shared_anchor': True}, {'effect_size': 0.25, 'rate': 0.94, 'se': 0.023748684174075843, 'from_shared_anchor': False}, {'effect_size': 0.5, 'rate': 1.0, 'se': 0.0, 'from_shared_anchor': False}, {'effect_size': 0.75, 'rate': 1.0, 'se': 0.0, 'from_shared_anchor': False}, {'effect_size': 1.0, 'rate': 1.0, 'se': 0.0, 'from_shared_anchor': False}]",1.0,1.0,[],,,,,,,,,
"mandatory_control[magnitude,angle]",control,magnitude,angle,power_primary-b454e41ba106,1.0,True,"rate=0.0100 <= bound=0.0936 (alpha=0.05 + 2·SE, n=100)",power_primary-b454e41ba106,,magnitude,angle,1.0,0.05,2.0,0.01,0.0099498743710662,100.0,0.09358898943540674,-0.08358898943540674,-8.401009532188654,,,,,,,,,,,,,,,
"mandatory_control[magnitude,shape]",control,magnitude,shape,power_primary-b454e41ba106,1.0,True,"rate=0.0000 <= bound=0.0936 (alpha=0.05 + 2·SE, n=100)",power_primary-b454e41ba106,,magnitude,shape,1.0,0.05,2.0,0.0,0.0,100.0,0.09358898943540674,-0.09358898943540674,,,,,,,,,,,,,,,,
"descriptive[orientation,delta]",descriptive,orientation,delta,,,,"Descriptive only: the constructions are known to be mixed, so this pair is reported against realized geometry rather than gated.",,,,,,,,,,,,,,,,"[{'effect_size': 0.0, 'rate': 0.08, 'se': 0.027129319932501072}, {'effect_size': 0.25, 'rate': 0.6, 'se': 0.04898979485566356}, {'effect_size': 0.5, 'rate': 0.69, 'se': 0.04624932431938871}, {'effect_size': 0.75, 'rate': 0.67, 'se': 0.04702127178203499}, {'effect_size': 1.0, 'rate': 0.65, 'se': 0.047696960070847276}]",,,,,,,,,,,,
"descriptive[orientation,shape]",descriptive,orientation,shape,,,,"Descriptive only: the constructions are known to be mixed, so this pair is reported against realized geometry rather than gated.",,,,,,,,,,,,,,,,"[{'effect_size': 0.0, 'rate': 0.03, 'se': 0.01705872210923198}, {'effect_size': 0.25, 'rate': 0.97, 'se': 0.017058722109231986}, {'effect_size': 0.5, 'rate': 1.0, 'se': 0.0}, {'effect_size': 0.75, 'rate': 0.99, 'se': 0.009949874371066205}, {'effect_size': 1.0, 'rate': 0.99, 'se': 0.009949874371066205}]",,,,,,,,,,,,
"descriptive[shape,delta]",descriptive,shape,delta,,,,"Descriptive only: the constructions are known to be mixed, so this pair is reported against realized geometry rather than gated.",,,,,,,,,,,,,,,,"[{'effect_size': 0.0, 'rate': 0.08, 'se': 0.027129319932501072}, {'effect_size': 0.25, 'rate': 0.8, 'se': 0.04}, {'effect_size': 0.5, 'rate': 0.97, 'se': 0.017058722109231986}, {'effect_size': 0.75, 'rate': 1.0, 'se': 0.0}, {'effect_size': 1.0, 'rate': 1.0, 'se': 0.0}]",,,,,,,,,,,,
"descriptive[shape,angle]",descriptive,shape,angle,,,,"Descriptive only: the constructions are known to be mixed, so this pair is reported against realized geometry rather than gated.",,,,,,,,,,,,,,,,"[{'effect_size': 0.0, 'rate': 0.04, 'se': 0.019595917942265423}, {'effect_size': 0.25, 'rate': 0.51, 'se': 0.04998999899979995}, {'effect_size': 0.5, 'rate': 0.69, 'se': 0.04624932431938871}, {'effect_size': 0.75, 'rate': 0.77, 'se': 0.042083250825001625}, {'effect_size': 1.0, 'rate': 0.83, 'se': 0.037563279941985904}]",,,,,,,,,,,,
diagnostic_completeness,completeness,*,*,,,True,All expected records and mandatory diagnostics present,,,,,,,,,,,,,,,,,,,,1900.0,1900.0,0.0,1900.0,1900.0,0.0,0.0,400.0,0.0
