rule,kind,trajectory_mode,statistic,cell_id,effect_size,met,detail,obs_cell_id,obs_phase,obs_trajectory_mode,obs_statistic,obs_effect_size,obs_alpha,obs_se_tolerance,obs_rejection_rate,obs_monte_carlo_se,obs_available_replicates,obs_bound,obs_exceedance,obs_exceedance_in_se,obs_min_power_at_top,obs_monotonicity_se_tolerance,obs_points,obs_top_effect_size,obs_top_rate,obs_reversals,obs_records,obs_completed,obs_failed,obs_expected_units,obs_pls_records,obs_missing_integration_metadata,obs_missing_realized_geometry,obs_attribution_eligible,obs_attribution_incomplete
"type_i_inflation[power_primary-356f35b04b73,delta]",type_i_inflation,translation,delta,power_primary-356f35b04b73,0.75,True,"rate=0.0700 <= bound=0.0936 (alpha=0.05 + 2·SE, n=100)",power_primary-356f35b04b73,power_primary,translation,delta,0.75,0.05,2.0,0.07,0.02551470164434615,100.0,0.09358898943540674,-0.02358898943540673,-0.924525387920178,,,,,,,,,,,,,,,
"type_i_inflation[power_primary-356f35b04b73,angle]",type_i_inflation,translation,angle,power_primary-356f35b04b73,0.75,True,"rate=0.0500 <= bound=0.0936 (alpha=0.05 + 2·SE, n=100)",power_primary-356f35b04b73,power_primary,translation,angle,0.75,0.05,2.0,0.05,0.021794494717703367,100.0,0.09358898943540674,-0.04358898943540673,-2.0,,,,,,,,,,,,,,,
"type_i_inflation[power_primary-356f35b04b73,shape]",type_i_inflation,translation,shape,power_primary-356f35b04b73,0.75,True,"rate=0.0400 <= bound=0.0936 (alpha=0.05 + 2·SE, n=100)",power_primary-356f35b04b73,power_primary,translation,shape,0.75,0.05,2.0,0.04,0.019595917942265423,100.0,0.09358898943540674,-0.053588989435406735,-2.734701665586352,,,,,,,,,,,,,,,
"type_i_inflation[power_primary-60645449887c,delta]",type_i_inflation,translation,delta,power_primary-60645449887c,0.25,True,"rate=0.0300 <= bound=0.0936 (alpha=0.05 + 2·SE, n=100)",power_primary-60645449887c,power_primary,translation,delta,0.25,0.05,2.0,0.03,0.01705872210923198,100.0,0.09358898943540674,-0.06358898943540674,-3.7276525772697315,,,,,,,,,,,,,,,
"type_i_inflation[power_primary-60645449887c,angle]",type_i_inflation,translation,angle,power_primary-60645449887c,0.25,True,"rate=0.0300 <= bound=0.0936 (alpha=0.05 + 2·SE, n=100)",power_primary-60645449887c,power_primary,translation,angle,0.25,0.05,2.0,0.03,0.01705872210923198,100.0,0.09358898943540674,-0.06358898943540674,-3.7276525772697315,,,,,,,,,,,,,,,
"type_i_inflation[power_primary-60645449887c,shape]",type_i_inflation,translation,shape,power_primary-60645449887c,0.25,True,"rate=0.0600 <= bound=0.0936 (alpha=0.05 + 2·SE, n=100)",power_primary-60645449887c,power_primary,translation,shape,0.25,0.05,2.0,0.06,0.023748684174075833,100.0,0.09358898943540674,-0.03358898943540674,-1.4143515989855397,,,,,,,,,,,,,,,
"type_i_inflation[power_primary-76efbc65d01b,delta]",type_i_inflation,none,delta,power_primary-76efbc65d01b,0.0,True,"rate=0.0800 <= bound=0.0936 (alpha=0.05 + 2·SE, n=100)",power_primary-76efbc65d01b,power_primary,none,delta,0.0,0.05,2.0,0.08,0.027129319932501072,100.0,0.09358898943540674,-0.013588989435406734,-0.50089679613115,,,,,,,,,,,,,,,
"type_i_inflation[power_primary-76efbc65d01b,angle]",type_i_inflation,none,angle,power_primary-76efbc65d01b,0.0,True,"rate=0.0400 <= bound=0.0936 (alpha=0.05 + 2·SE, n=100)",power_primary-76efbc65d01b,power_primary,none,angle,0.0,0.05,2.0,0.04,0.019595917942265423,100.0,0.09358898943540674,-0.053588989435406735,-2.734701665586352,,,,,,,,,,,,,,,
"type_i_inflation[power_primary-76efbc65d01b,shape]",type_i_inflation,none,shape,power_primary-76efbc65d01b,0.0,True,"rate=0.0300 <= bound=0.0936 (alpha=0.05 + 2·SE, n=100)",power_primary-76efbc65d01b,power_primary,none,shape,0.0,0.05,2.0,0.03,0.01705872210923198,100.0,0.09358898943540674,-0.06358898943540674,-3.7276525772697315,,,,,,,,,,,,,,,
"type_i_inflation[power_primary-b2ece987408c,delta]",type_i_inflation,translation,delta,power_primary-b2ece987408c,0.5,True,"rate=0.0800 <= bound=0.0936 (alpha=0.05 + 2·SE, n=100)",power_primary-b2ece987408c,power_primary,translation,delta,0.5,0.05,2.0,0.08,0.027129319932501072,100.0,0.09358898943540674,-0.013588989435406734,-0.50089679613115,,,,,,,,,,,,,,,
"type_i_inflation[power_primary-b2ece987408c,angle]",type_i_inflation,translation,angle,power_primary-b2ece987408c,0.5,True,"rate=0.0700 <= bound=0.0936 (alpha=0.05 + 2·SE, n=100)",power_primary-b2ece987408c,power_primary,translation,angle,0.5,0.05,2.0,0.07,0.02551470164434615,100.0,0.09358898943540674,-0.02358898943540673,-0.924525387920178,,,,,,,,,,,,,,,
"type_i_inflation[power_primary-b2ece987408c,shape]",type_i_inflation,translation,shape,power_primary-b2ece987408c,0.5,True,"rate=0.0700 <= bound=0.0936 (alpha=0.05 + 2·SE, n=100)",power_primary-b2ece987408c,power_primary,translation,shape,0.5,0.05,2.0,0.07,0.02551470164434615,100.0,0.09358898943540674,-0.02358898943540673,-0.924525387920178,,,,,,,,,,,,,,,
"type_i_inflation[power_primary-ebe229f72db1,delta]",type_i_inflation,translation,delta,power_primary-ebe229f72db1,1.0,True,"rate=0.0700 <= bound=0.0936 (alpha=0.05 + 2·SE, n=100)",power_primary-ebe229f72db1,power_primary,translation,delta,1.0,0.05,2.0,0.07,0.02551470164434615,100.0,0.09358898943540674,-0.02358898943540673,-0.924525387920178,,,,,,,,,,,,,,,
